imageID,OverallEffort_trimmedMean30,z_score_weighting,COMPLEX_mean,Intresting_mean,DIFFICULT_mean,PAYMENT_mean
306OACM7G04QOX49OC3VEMIMU7KA8L,61.54545455,1.344185186,9.07,8.2,7.87,0.72
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,40.81818182,1.657333064,6.4,10,5.13,0.13
39Y8ZSVZWWM1XMK47AFGQNZOPQQVZE,45.63636364,1.182050337,9.33,6.13,9.53,0.48
39Y8ZSVZXXM4Z9DMIL8I9OJZBK9VZ6,47,0.866040001,7.27,5.8,6.07,0.15
3AA189Q6B51983MEFLORU493K7KMWE,47,1.3515774,6.47,6.8,6.53,0.2
3AA189Q6C6N6C9XRHK508ZBLMH8WM3,27.3,1.648631471,4.43,11.07,4,0.06
3AJ89545NQRFJUS6JU65GFBBEJ7BEW,34.1,0.736111744,5.21,4.14,5.79,0.11
3B9PUZPHFHW5PZT5Q7OV88NG9W6JA5,42.63636364,1.159687518,8.27,3.33,5.67,1.53
31ZZN31VRB1J1I6XNAS9X9DBA59QRV,14.9,1.121052084,0.57,8.36,0.21,0.08
3BGEFHL0JHEL8I3UU0A0G1OJRYOJBS,52.2,1.760711352,9.43,9.14,7.43,0.98
3BK5FW2G6MZ18ENS8D29GOXE9AHRCA,47.63636364,1.402239273,6.33,4.47,8.93,1.68
3BRG9Q58M1LAH7AQ01RWX47CRWFYQ2,44.27272727,1.371805577,6.87,10.47,4.4,0.34
3CP9VRCFS74RV9VXRUIMMBYWTQDUEZ,38.36363636,1.696828356,5.53,11.67,5.53,0.19
3CTCX9NXB5M1LSUM0XPXZV8QE2WLJA,33.63636364,1.231910025,4.53,9.93,4.67,0.24
3CTCX9NXC67QIV0KKFDEFSMCFTJJLN,45.33333333,0.643270291,8.23,9.38,7,6.64
3D00S7P7YG22I1NWJE5APKC40DIEZA,67.36363636,1.419618348,8.67,8.6,6.33,0.61
3D3KZYB03KLUXQ4AWC4FKH86OYE8VD,18.3,1.495631407,3.43,8.5,2.64,0.07
3203J2GC2PK4HSXGZ2GG1073Z7V84O,56.1,1.656897849,6.36,2,5.64,0.51
3D8B00U52IVJZWECZOBXRVFXL2U83O,46.77777778,1.340610612,7.46,3.85,8.08,0.22
3D8B00U52IVJZWECZOBXRVFYHAV833,39.09090909,1.419554675,5.53,3.67,4.87,0.16
3DBJK6OC3AF4JLMP40JUKZIT4XNYF3,52.54545455,1.004970076,7.73,8.67,7.13,0.25
3DECMKXKT815JCLN1RI1KKDJDFAMBB,46.72727273,1.519755483,7.8,9.6,6.47,0.19
3DPZKFEUURUGTQUQB4SOUUG5ZFPI4V,67.5,0.715040017,12,3.07,10.79,0.27
3DXFGU9SKN7P79WJOTN6EK4MLG3EXS,38.625,0.160269711,5.2,6.6,5,0.2
3203J2GC2PK4HSXGZ2GG1074VAS84P,44.2,1.546387945,4.93,4.71,5.57,0.46
3DXFGU9SLODY46WA7XIQCVBUTMKEXQ,71.2,1.359075223,7.36,10,6.71,1.8
3EJ1F91ANSU6O8N3S3NGZ4GVCA2IZW,47.8,0.449468703,7.71,9.36,8.36,0.28
3ERG9KP7KAETHL286FNRQ00RYLWCHM,9.727272727,1.312620616,1.2,9.73,1.33,0.1
3EULM6QNGEDGI0DDZ62WA3R8YV4JXB,11,0.32594511,0.92,12.23,0.62,0.03
3F0Z1FPMUNUP6TOTMH2XGS6T5GJLYU,22.27272727,1.488763032,0.8,8.8,1.2,0.07
3F0Z1FPMUNWB7D1EFV5M6IVBAHELYR,52.36363636,1.42195676,5.33,10.87,7.4,0.32
