imageID,WorkerId,Input.timeAlloted,Input.reward,Input.hitsAvailable,Answer.Q_ABILITY,Answer.Q_COMPLEX,Answer.Q_DIFFICULT,Answer.Q_FREQUENCY,Answer.Q_Frustration,Answer.Q_Intresting,Answer.Q_OverallEffort,Answer.Q_Performance,Answer.Q_TAKE,TLX,TLX_RAW
3MK14RC5NS9WDGLCZVLGWCZQJ2BT6N,A12R2U6TBB3OOG,45 minutes,0.02,17912,Y,2,2,2,9,2,49,1,2,25.67,24.17
38MNOT6KWIG21RX6PKH1YJB8VKDT05_2,A12R2U6TBB3OOG,5 minutes,0.02,152,Y,4,4,1,12,0,58,1,0,32.33,30
3P6UG6V268Y9VTMB4YR44MFGIGC4NX,A12R2U6TBB3OOG,10 minutes,0.35,50,Y,2,2,4,2,4,27,2,8,11.33,10.83
3FKD865UZQBJZ4661LLBINGEMFPMUJ,A12R2U6TBB3OOG,1 W 3 days,0.3,1,N,10,14,0,10,18,101,16,0,60,60
3DPZKFEUURUGTQUQB4SOUUG5ZFPI4V,A12R2U6TBB3OOG,2minutes,0.07,2,Y,16,12,4,20,0,68,0,0,66.67,58.33
3XOONX5XJ4G5CUJT3GITEEBP8TAR9P,A12R2U6TBB3OOG,45 minutes,0.02,7,Y,4,4,2,3,1,27,6,4,26,25
3U47UEJKWC8E1D3WG0VTNM1UKCYBLF,A12R2U6TBB3OOG,3 minutes,0.01,139,Y,2,1,4,6,0,39,0,2,18,15
3244QHISJ1ITNE98CFK36E7RG91L0N,A12R2U6TBB3OOG,60 Minutes,0.01,1,Y,0,0,10,0,2,7,0,16,1.67,1.67
3ME56J5KH09H8MTADW07EI1HZMYC6P,A12R2U6TBB3OOG,5 minutes,0.01,5,Y,1,4,2,2,2,39,2,2,33.33,25
32JRJ3GOYGFHSVM6IWA88RJNYD8U1D,A19LVWX8ZLO6CS,15 minutes,0.15,92,Y,1,0,0,0,1,33,1,6,5,3.33
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,A19LVWX8ZLO6CS,45 minutes,0.03,24394,Y,1,0,0,2,0,37,1,0,8,6.67
375FCEJV4GX4B1VR293XJCDD0I7CCJ,A19LVWX8ZLO6CS,12 hours,0.6,1,Y,13,12,0,17,3,71,10,0,48,43.33
33FLRCV01N0NF725EJLGLLU8UGYORG,A19LVWX8ZLO6CS,60 seconds,0.1,100,Y,2,2,0,3,0,38,2,0,15,12.5
375MF9UHMRPR2XWE6NL8JC3TL1HSX9,A19LVWX8ZLO6CS,7 days,0.01,4,Y,0,1,10,0,6,24,1,10,3.67,2.5
3Q9ARQ9ZAP4L7I0LVYTFN28MIJR3MM_2,A19LVWX8ZLO6CS,60minutes,0.4,1,Y,2,0,6,1,11,41,2,14,10.33,7.5
3PHLPV04IQDPW55WV8WBZJA231AP7O,A19LVWX8ZLO6CS,60 minutes,0.1,27,Y,2,2,6,3,6,37,1,10,8.67,7.5
3ZSDUF3VXOXZ44ZW3SE86JT3CR623Z,A19LVWX8ZLO6CS,60 minutes,0.05,6,Y,0,0,0,1,0,36,0,0,3,2.5
3PBTVBPQ9UJW25OVYU5DFTVY5MMGLK_2,A19LVWX8ZLO6CS,7 daysays,0.15,6,Y,4,4,2,7,10,46,2,1,19,17.5
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,A19LVWX8ZLO6CS,5 hours,3,1,Y,9,4,9,2,12,51,3,20,29.33,21.67
3WNTBWVI7IICS3U5SPMYXHW39RR1DW,A19LVWX8ZLO6CS,60 minutes,0.1,1,Y,1,0,16,2,10,37,2,20,5.67,5
3UV3KC5DTGMOGZ30EI3U2F567A15CS,A19LVWX8ZLO6CS,5 minutes,0.06,26,Y,2,0,0,4,1,32,1,4,8.67,8.33
