imageID,WorkerId,Answer.Q_OverallEffort,Answer.Q_COMPLEX,Answer.Q_DIFFICULT,Answer.Q_Intresting,Answer.Q_TAKE,Answer.Q_FREQUENCY,OverallEffort_mean
3XQ5ITPVUWCZXHDQO612ZU9R46PQTU,A3298CNSQI60HU,46,12,7,11,17,5,53.20
3XQ5ITPVUWCZXHDQO612ZU9R46PQTU,A3RIFUEQ95MR16,33,0,2,1,0,1,53.20
3XQ5ITPVUWCZXHDQO612ZU9R46PQTU,A19LVWX8ZLO6CS,116,20,20,0,0,0,53.20
3XQ5ITPVUWCZXHDQO612ZU9R46PQTU,A1XJ9VFOJ4LP2X,33,0,0,13,13,8,53.20
3XQ5ITPVUWCZXHDQO612ZU9R46PQTU,AWJ5TLP0KOYFX,38,0,4,11,14,0,53.20
3YNFDCZ5R4IX1UZP9S56QRIUL8YNRO,ASL1MFFPUB2ZW,58,2,2,10,1,6,55.40
3YNFDCZ5R4IX1UZP9S56QRIUL8YNRO,A28FW73RBVGYZ9,72,6,10,6,8,4,55.40
3YNFDCZ5R4IX1UZP9S56QRIUL8YNRO,AWMQYV1RQM94M,41,15,15,16,1,1,55.40
3YNFDCZ5R4IX1UZP9S56QRIUL8YNRO,A1X0H6VAK3AQE9,56,2,2,10,0,4,55.40
3YNFDCZ5R4IX1UZP9S56QRIUL8YNRO,A2VRDE2FHCBMF8,50,6,6,2,4,4,55.40
3MHMBB6SGFYXPF5WOO57T0Y1YOLKW9,A3GKXKMOZB0YMN,27,0,1,0,0,0,23.00
3MHMBB6SGFYXPF5WOO57T0Y1YOLKW9,A88QVXE9H03O8,19,2,4,4,9,10,23.00
3MHMBB6SGFYXPF5WOO57T0Y1YOLKW9,A1XJ9VFOJ4LP2X,14,0,0,1,10,7,23.00
3MHMBB6SGFYXPF5WOO57T0Y1YOLKW9,ASN25PIODXIPJ,26,2,2,18,18,18,23.00
3MHMBB6SGFYXPF5WOO57T0Y1YOLKW9,A2WCV7ULUPKVNQ,29,1,2,0,1,1,23.00
3MXFP9RGE565H89AY0KXMF94YTQB2U,A1Y50NM443ITPK,84,13,6,8,5,2,61.00
3MXFP9RGE565H89AY0KXMF94YTQB2U,A28EL15HGXUJ5X,98,10,12,11,14,14,61.00
3MXFP9RGE565H89AY0KXMF94YTQB2U,A19LVWX8ZLO6CS,46,4,5,10,20,18,61.00
3MXFP9RGE565H89AY0KXMF94YTQB2U,A1F3IJU2HXZ0PQ,30,0,4,0,10,4,61.00
3MXFP9RGE565H89AY0KXMF94YTQB2U,A1M3VJEHKWDP8I,71,6,8,1,14,0,61.00
