imageID,WorkerId,Input.timeAlloted,Input.reward,Input.hitsAvailable,Answer.Q_ABILITY,Answer.Q_COMPLEX,Answer.Q_DIFFICULT,Answer.Q_FREQUENCY,Answer.Q_Intresting,Answer.Q_OverallEffort,Answer.Q_PAYMENT,Answer.Q_TAKE,Answer.vreward
3XCMB0010Q8CROANL93DZ0TZ7HDP3B,A19OH5PQ7ZZ6UV,10 minutes,0.03,6,Y,4,4,14,6,33,0.04,16,0.03
3XCMB0010Q8CROANL93DZ0TZ7HDP3B,A1C7FH4P7EKUBE,10 minutes,0.03,6,Y,6,3,1,1,44,0.15,2,0.03
3XCMB0010Q8CROANL93DZ0TZ7HDP3B,A3RIFUEQ95MR16,10 minutes,0.03,6,Y,10,11,1,1,58,0.15,0,0.03
3XCMB0010Q8CROANL93DZ0TZ7HDP3B,A88QVXE9H03O8,10 minutes,0.03,6,Y,3,0,2,0,34,0.5,0,0.03
3XCMB0010Q8CROANL93DZ0TZ7HDP3B,AROEBUDI2L9G9,10 minutes,0.03,6,Y,5,7,13,6,42,0.15,13,0.03
3XCMB0010Q8CROANL93DZ0TZ7HDP3B,A3QNMUHAFAJRQO,10 minutes,0.03,6,Y,0,2,8,2,21,0.05,7,0.03
3XCMB0010Q8CROANL93DZ0TZ7HDP3B,A2XLEJ7UPW51RD,10 minutes,0.03,6,Y,0,1,15,18,25,0.02,17,0.03
3XCMB0010Q8CROANL93DZ0TZ7HDP3B,AXV4XY9UNODNP,10 minutes,0.03,6,Y,16,2,9,15,32,0.2,11,0.03
3XCMB0010Q8CROANL93DZ0TZ7HDP3B,AGPGCMNDSKZGT,10 minutes,0.03,6,Y,2,3,15,18,17,0.1,16,0.03
3XCMB0010Q8CROANL93DZ0TZ7HDP3B,A2HR7ZIX42FEPG,10 minutes,0.03,6,Y,0,0,8,6,26,0.05,14,0.03
3ME56J5KH0A6OHM7NB7LNJZ2KW86CO,A35VBQUAIJUPYP,2 minutes,0.05,9515,Y,0,0,20,18,14,0.05,20,0.05
3ME56J5KH0A6OHM7NB7LNJZ2KW86CO,A610SH5RY1NG1,2 minutes,0.05,9515,Y,6,5,6,9,71,0.15,4,0.05
3ME56J5KH0A6OHM7NB7LNJZ2KW86CO,A3OLRWACCCCUTU,2 minutes,0.05,9515,Y,7,6,5,7,57,0.1,5,0.05
3ME56J5KH0A6OHM7NB7LNJZ2KW86CO,A4PGF2WE94TJA,2 minutes,0.05,9515,Y,18,18,0,2,56,0.05,1,0.05
3ME56J5KH0A6OHM7NB7LNJZ2KW86CO,A26913CR59ATI9,2 minutes,0.05,9515,Y,10,4,7,10,26,0.02,10,0.05
3ME56J5KH0A6OHM7NB7LNJZ2KW86CO,A2HR7ZIX42FEPG,2 minutes,0.05,9515,N,18,20,0,0,126,0.9,0,0.05
3ME56J5KH0A6OHM7NB7LNJZ2KW86CO,A5TI9UQEPLNWI,2 minutes,0.05,9515,Y,9,10,13,12,59,1.5,4,0.05
3ME56J5KH0A6OHM7NB7LNJZ2KW86CO,A2Z1O9OKSW8MNU,2 minutes,0.05,9515,Y,5,4,4,8,32,0.12,7,0.05
3ME56J5KH0A6OHM7NB7LNJZ2KW86CO,A1GOLJMO4GID3I,2 minutes,0.05,9515,Y,2,2,0,5,21,0.05,1,0.05
3ME56J5KH0A6OHM7NB7LNJZ2KW86CO,A340UGIDGIF4W6,2 minutes,0.05,9515,Y,6,10,16,16,38,0.1,18,0.05
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,A1VL7507UONPX0,5 hours,3,1,N,5,4,2,20,41,2,20,3
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,A26CL8E3XJWH1W,5 hours,3,1,Y,12,12,1,10,72,3,3,3
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,A3QNMUHAFAJRQO,5 hours,3,1,Y,0,0,0,16,29,3,19,3
