WorkerId,AMOT,ENJ,EXT,IDEN,INTRO,RAI
A1ESCPVSM3GQ95,1.5,1.75,7,4.75,1,-6.75
A24F42H3K58D8A,1,4,7,3.5,1,-3.5
AUSDM3KALROGI,2.5,3.25,6,5,2,-2.5
AC8IEBY696VJO,1,3.25,7,4.5,1,-4
A2WBOGH24L2YZI,1.5,2.5,6,1.5,1,-6.5
AJDWFBDGUPY14,1,5,7,4.25,3,-2.75
A12HZGOZQD5YK7,1,3.25,7,5.75,2,-3.75
A21SIPO89DP66I,2.5,4.5,5.5,4.5,2.75,-0.25
A2VD133723IZR8,1,5.5,7,6,2.25,0.75
AVD6HMIO1HLFI,1,1.5,7,4.25,1,-7.75
A2IA303OT5BBX0,2,5.5,6,6,2.75,2.25
A1EQIKZRSGNNP,1,3.25,7,5.75,1,-2.75
A1M1TSMJB12177,1,1,7,4,1,-9
A3LARK2XWBY8BI,2,5.25,5.5,4.75,4.25,0
A2ZE2IPHK152KA,1,3.75,7,3.75,1,-3.75
A35JTLEV0TZ7RB,2,4.5,7,5.5,4.75,-4.25
A1MYLQQL8BBOYT,2.5,3.5,7,4,1.75,-4.75
A2CQP9DZSDUC5V,1.5,5.25,7,5.5,4,-2
A34DWBBWZRLO1X,1,4,7,6.5,3,-2.5
A2CDM78GVCICO5,1,1,7,4.5,1,-8.5
AF7ZFZR505E84,1,3.75,7,6,1,-1.5
A1VW8Y7XCV3DRW,1,6,7,6.5,5,-0.5
A1Q5KU5RVDE67,2.5,2.5,7,3,1.25,-7.25
ABNNX9AKIRYJ7,1,3.5,7,5.75,1.5,-2.75
A2NOR6R1M1NHGX,1,6,7,6.75,5,-0.25
ASV53ZC7ILJ7B,1,5.5,6.5,6.75,2.25,2.5
A11HK2XJZAXPPX,2.5,3.25,7,3.5,3.25,-7.25
A35PVH08VUB3TT,2.5,5,5,4,3.5,0.5
A1BF7DK6RJHQA1,1,5.75,6.5,5.25,4,-0.25
A1TT25CZLTLF0,1,4,7,5,1,-2
A1QEQOI98976S0,1,6.25,7,7,4,1.5
