imageID,Input.timeAlloted,Input.reward,Input.hitsAvailable,Type,OverallEffort_trimmedMean30,OverallEffort_mean,OverallEffort_sd,Answer.Q_COMPLEX_AVG,COMPLEX_sd,DIFFICULT_mean,DIFFICULT_sd,Intresting_mean,PAYMENT_mean,Intresting_sd,PAYMENT_sd,imageID,Input.timeAlloted,Input.reward,Input.hitsAvailable,Type,threshold,windows greater than threshold,largest connected window (no. of windows),The average size of connected regions,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,"25% of windows have density equal to or less","50% of windows have density equal to or less","75% of windows have density equal to or less","95% of windows have density equal to or less","98% of windows have density equal to or less","100% of windows have density equal to or less",a.count,a.innerHref(#),bonus,button,characters,div,fileSize,header.h1,header.h2,header.h3,header.h4,header.h5,img.count,img.over100px,img.under100px,input.count,input.required,input.type.button,input.type.checkbox,input.type.color,input.type.date,input.type.datetime,input.type.datetime-local,input.type.email,input.type.file,input.type.hidden,input.type.image,input.type.month,input.type.number,input.type.password,input.type.radio,input.type.range,input.type.reset,input.type.search,input.type.submit,input.type.tel,input.type.text,input.type.text.readonly,input.type.time,input.type.url,input.type.week,p,selection,span,textarea.count,video,z_sum_inputs,Sentences,Subclauses,Words,AvgWordLength,numUniqueStems,avgUniqueStems
306OACM7G04QOX49OC3VEMIMU7KA8L,44 minutes,0.300000000000000,2,CC,61.55,61.73,17.39,9.07,4.98,7.87,4.32,8.20,0.72,6.04,0.51,306OACM7G04QOX49OC3VEMIMU7KA8L,2640.0,0.3,2.0,2,0.2246,35.0,2.0,17.5,25.0,16.0,11.0,8.0,12.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.62,19.0,0.0,0.0,1.0,3786.0,114.0,127510.0,0.0,1.0,0.0,0.0,0.0,25.0,1.0,24.0,302.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,5.0,2.0,33.0,3.0,0.0,80.0,49.0,16.0,497.0,3.2197558268590454,17.0,0.03420523138832998
30E2X49V611K26Z0IIHLB47CQY53NF,60minutes,0.010000000000000,1,IF,28.89,27.85,12.49,4.46,4.07,3.77,3.75,6.92,0.08,5.31,0.06,30E2X49V611K26Z0IIHLB47CQY53NF,3600.0,0.01,1.0,4,0.5478,14.0,2.0,7.0,2.0,8.0,3.0,1.0,3.0,8.0,1.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0396,1.0,1.0,0.0,0.0,0.0,702.0,9.0,3088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,63.0,3.440993788819876,3.0,0.047619047619047616
30E2X49V611K26Z0IIHLB47CQY63NG,60minutes,0.010000000000000,1,VV,33.70,31.93,11.00,3.43,4.31,4.29,3.41,4.93,0.07,4.83,0.06,30E2X49V611K26Z0IIHLB47CQY63NG,3600.0,0.01,1.0,5,0.4906,22.0,2.0,11.0,3.0,8.0,2.0,3.0,2.0,11.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0184,1.0,1.0,0.0,0.0,0.0,1515.0,9.0,5086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,24.0,8.0,184.0,4.407942238267148,1.0,0.005434782608695652
30GUUI0R316PRKEN69AJEXY15MMBCT,15minutes,0.080000000000000,3,IF,35.20,35.43,20.19,3.93,4.14,3.57,3.44,3.86,0.13,3.32,0.07,30GUUI0R316PRKEN69AJEXY15MMBCT,900.0,0.08,3.0,4,0.3682,62.0,3.0,12.4,8.0,23.0,27.0,14.0,21.0,8.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.4588,0.8,7.0,0.0,0.0,1.0,4593.0,69.0,251357.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,43.0,6.0,0.0,13.0,57.0,34.0,958.0,3.193014705882353,22.0,0.022964509394572025
319N3DB42B6LKGW48RIT1IUY6MJEPG,45 minutes,0.070000000000000,3,CA,40.44,48.00,37.29,3.46,4.24,2.46,3.18,12.00,0.23,4.69,0.23,319N3DB42B6LKGW48RIT1IUY6MJEPG,2700.0,0.07,3.0,6,0.2675,68.0,6.0,17.0,43.0,24.0,22.0,23.0,14.0,20.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1496,0.4364,0.832,2.0,0.0,0.0,0.0,3347.0,4.0,15431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,0.0,1.0,0.0,14.0,25.0,12.0,240.0,4.225663716814159,7.0,0.029166666666666667
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP,5 minutes,0.080000000000000,47,CC,45.67,48.85,24.43,4.85,4.45,6.08,5.31,9.31,0.20,5.41,0.16,31H4HIBP9AWNGDF6JZY7J01Z8LG5HP,300.0,0.08,47.0,2,0.5612,64.0,4.0,16.0,3.0,28.0,16.0,5.0,2.0,2.0,10.0,18.0,9.0,27.0,0.0,0.0,0.0,0.0,0.18,0.8,1.0,0.0,0.0,0.0,0.0,1175.0,15.0,5981.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,3.0,10.0,7.0,173.0,3.876,7.0,0.04046242774566474
31QBDMKNDPO96CGOU6OI3UH1N96L85,2 hours,0.620000000000000,1,CC,67.71,69.27,17.12,10.00,6.94,10.18,6.65,8.82,1.59,5.83,1.75,31QBDMKNDPO96CGOU6OI3UH1N96L85,7200.0,0.62,1.0,2,0.4165,21.0,3.0,7.0,8.0,13.0,5.0,1.0,4.0,3.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.1332,1.0,73.0,0.0,1.0,2.0,13376.0,329.0,102598.0,0.0,0.0,0.0,3.0,0.0,19.0,13.0,6.0,36.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,52.0,9.0,33.0,0.0,0.0,29.0,137.0,65.0,989.0,3.2448979591836733,0.0,0.0
31QOF9ABLNAV27TO4PXO0GLATWO1L1,10 minutes,0.450000000000000,98,IA,57.63,58.58,17.28,9.33,4.83,10.17,4.24,4.00,0.64,4.49,0.25,31QOF9ABLNAV27TO4PXO0GLATWO1L1,600.0,0.45,98.0,3,0.5413,54.0,4.0,13.5,16.0,6.0,11.0,12.0,10.0,11.0,14.0,9.0,7.0,23.0,0.0,0.0,0.0,0.0,0.24,0.7272,1.0,12.0,0.0,0.0,0.0,2727.0,5.0,7249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,17.0,36.0,29.0,333.0,4.069343065693431,36.0,0.10810810810810811
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,24 hours,0.020000000000000,24,IF,42.44,45.31,21.18,6.62,5.58,5.77,4.95,10.31,0.11,6.22,0.08,31R9JPCYP6DVE0AQVNO2QFRENFMWRA,86400.0,0.02,24.0,4,0.4219,15.0,3.0,5.0,5.0,3.0,3.0,6.0,5.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2011.0,5.0,3785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,21.0,26.0,280.0,4.641242937853107,18.0,0.06428571428571428
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,20 minutes,0.070000000000000,489,IA,39.00,40.31,16.13,6.15,4.02,4.85,3.31,9.08,0.12,7.04,0.09,31TTIPZ8XM69HILWQZWMCQMN1KS3GE,1200.0,0.07,489.0,3,0.4717,63.0,4.0,15.75,18.0,10.0,15.0,20.0,12.0,11.0,11.0,14.0,13.0,10.0,0.0,0.0,0.0,0.0,0.24,0.6608,1.0,3.0,0.0,0.0,0.0,5969.0,3.0,13717.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,23.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,9.0,75.0,59.0,983.0,3.8842364532019706,1.0,0.001017293997965412
