imageID,Input.timeAlloted,Input.reward,Input.hitsAvailable,OverallEffort_trimmedMean30,OverallEffort_HubersMEstimatora,OverallEffort_TukeysBiweightb,OverallEffort_HampelsMEstimatorc,OverallEffort_AndrewsWaved,OverallEffort_mean,OverallEffort_median,OverallEffort_sd,OverallEffort_mean_byExperts,OverallEffort_median_byExperts,OverallEffort_sd_byExperts,z_score_weighting,COMPLEX_mean,COMPLEX_median,COMPLEX_sd,Intresting_mean,Intresting_median,Intresting_sd,DIFFICULT_mean,DIFFICULT_median,DIFFICULT_sd,PAYMENT_mean,PAYMENT_median,PAYMENT_sd,imageID,Input.timeAlloted,Input.reward,Input.hitsAvailable,threshold,windows greater than threshold,largest connected window (no. of windows),The average size of connected regions,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,"25% of windows have density equal to or less","50% of windows have density equal to or less","75% of windows have density equal to or less","95% of windows have density equal to or less","98% of windows have density equal to or less","100% of windows have density equal to or less",Type,a.count,a.innerHref(#),bonus,button,characters,div,fileSize,header.h1,header.h2,header.h3,header.h4,header.h5,img.count,img.over100px,img.under100px,input.count,input.required,input.type.button,input.type.checkbox,input.type.color,input.type.date,input.type.datetime,input.type.datetime-local,input.type.email,input.type.file,input.type.hidden,input.type.image,input.type.month,input.type.number,input.type.password,input.type.radio,input.type.range,input.type.reset,input.type.search,input.type.submit,input.type.tel,input.type.text,input.type.text.readonly,input.type.time,input.type.url,input.type.week,p,selection,span,textarea.count,video,z_sum_inputs,Sentences,Subclauses,Words,AvgWordLength,numUniqueStems,avgUniqueStems
306OACM7G04QOX49OC3VEMIMU7KA8L,44 minutes,0.3,2,61.54545455,61.71186292,61.70099563,61.68643122,61.70397924,61.73,61,17.39,65.63,71,18.12,1.3441851860118974,9.07,9,4.98,8.2,7,6.04,7.87,8,4.32,0.72,0.6,0.51,306OACM7G04QOX49OC3VEMIMU7KA8L,2640.0,0.3,2.0,0.2246,35.0,2.0,17.5,25.0,16.0,11.0,8.0,12.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.62,2,19.0,0.0,0.0,1.0,3786.0,114.0,127510.0,0.0,1.0,0.0,0.0,0.0,25.0,1.0,24.0,302.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,5.0,2.0,33.0,3.0,0.0,80.0,49.0,16.0,497.0,3.2197558268590454,17.0,0.03420523138832998
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,20 minutes,0.07,489,40.81818182,40.38505545,38.60982023,40.54372387,38.61889634,44.13,38,21.71,37.67,37,15.33,1.657333063511812,6.4,6,4.61,10,12,7.05,5.13,4,3.89,0.13,0.13,0.09,31TTIPZ8XM69HILWQZWMCQMN1KS3GE,1200.0,0.07,489.0,0.4717,63.0,4.0,15.75,18.0,10.0,15.0,20.0,12.0,11.0,11.0,14.0,13.0,10.0,0.0,0.0,0.0,0.0,0.24,0.6608,1.0,3,3.0,0.0,0.0,0.0,5969.0,3.0,13717.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,23.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,9.0,75.0,59.0,983.0,3.8842364532019706,1.0,0.001017293997965412
39Y8ZSVZWWM1XMK47AFGQNZOPQQVZE,60 minutes,0.04,10,45.63636364,44.59809758,43.1566176,44.68514623,43.15788214,48.53,40,24.2,39.4,40,16.59,1.1820503372910012,9.33,10,5.97,6.13,4,6.7,9.53,10,6.06,0.48,0.13,0.93,39Y8ZSVZWWM1XMK47AFGQNZOPQQVZE,3600.0,0.04,10.0,0.3151,91.0,11.0,15.33,40.0,33.0,25.0,28.0,15.0,22.0,14.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.2816,0.56,0.82,2,9.0,0.0,2.0,0.0,3458.0,9.0,8072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,66.0,46.0,417.0,3.7004103967168263,12.0,0.02877697841726619
39Y8ZSVZXXM4Z9DMIL8I9OJZBK9VZ6,60minutes,0.1,2277,47,46.89648461,45.38666642,45.99432014,45.38053547,48.4,47,18.58,42,42,11.08,0.8660400006827351,7.27,8,4.38,5.8,2,5.67,6.07,6,3.81,0.15,0.14,0.11,39Y8ZSVZXXM4Z9DMIL8I9OJZBK9VZ6,3600.0,0.1,2277.0,0.4125,23.0,2.0,11.5,14.0,10.0,2.0,3.0,2.0,2.0,4.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.106,1.0,4,1.0,0.0,6.0,0.0,1346.0,4.0,4293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,19.0,10.0,178.0,3.812274368231047,1.0,0.0056179775280898875
3AA189Q6B51983MEFLORU493K7KMWE,60 minutes,0.04,1,47,46.22265296,45.90790133,46.31891343,45.78044178,46.87,46,24.69,56.7,48,20.11,1.3515773998100666,6.47,6,5,6.8,6,4.52,6.53,5,5.82,0.2,0.13,0.22,3AA189Q6B51983MEFLORU493K7KMWE,3600.0,0.04,1.0,0.4075,24.0,2.0,12.0,13.0,8.0,6.0,3.0,1.0,6.0,3.0,5.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.12,0.96,4,0.0,0.0,0.0,0.0,1184.0,4.0,6141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,26.0,0.0,14.0,0.0,0.0,4.0,10.0,3.0,133.0,3.341463414634146,7.0,0.05263157894736842
3AA189Q6C6N6C9XRHK508ZBLMH8WM3,60 minutes,0.01,5280,27.3,27.65414732,27.30447059,27.09728376,27.31329233,27.57,28,15.46,30.2,28.5,15.98,1.648631471282143,4.43,3,4.27,11.07,11.5,6.91,4,2,4.51,0.06,0.05,0.05,3AA189Q6C6N6C9XRHK508ZBLMH8WM3,3600.0,0.01,5280.0,0.1822,18.0,3.0,9.0,20.0,5.0,8.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0648,0.432,3,0.0,0.0,0.0,0.0,1260.0,6.0,5157.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,8.0,0.0,0.0,1.0,17.0,2.0,135.0,3.695945945945946,7.0,0.05185185185185185
3AJ89545NQRFJUS6JU65GFBBEJ7BEW,20 minutes,0.02,4228,34.1,34.10641317,34.37962655,33.16928831,34.37436837,35.71,36,20.91,41.57,38,26.22,0.7361117439788347,5.21,4,4.92,4.14,4,2.91,5.79,5,4.64,0.11,0.05,0.09,3AJ89545NQRFJUS6JU65GFBBEJ7BEW,1200.0,0.02,4228.0,0.4513,15.0,2.0,7.5,11.0,1.0,0.0,1.0,2.0,1.0,4.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,771.0,10.0,13595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,9.0,3.0,108.0,3.7604790419161676,0.0,0.0
3B9PUZPHFHW5PZT5Q7OV88NG9W6JA5,5 minutes,0.05,1,42.63636364,39.16155411,33.63447646,37.47661395,33.61854975,44.27,39,23.01,35.75,38.5,11.09,1.1596875182466082,8.27,6,7.32,3.33,2,4.15,5.67,2,6.48,1.53,0.5,1.91,3B9PUZPHFHW5PZT5Q7OV88NG9W6JA5,300.0,0.05,1.0,0.5459,11.0,2.0,5.5,1.0,4.0,0.0,6.0,1.0,1.0,4.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,1.0,0.0,0.0,0.0,845.0,4.0,2719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,2.0,10.0,3.0,109.0,4.167664670658683,4.0,0.03669724770642202
31ZZN31VRB1J1I6XNAS9X9DBA59QRV,60 minutes,0,1,14.9,14.27374275,13.22714529,14.16266126,13.23238169,15.86,13,6.18,17.09,14,6.33,1.1210520837183735,0.57,0,0.94,8.36,9,6.21,0.21,0,0.43,0.08,0.1,0.06,31ZZN31VRB1J1I6XNAS9X9DBA59QRV,3600.0,0.0,1.0,0.2923,56.0,4.0,14.0,31.0,16.0,4.0,10.0,33.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.42,0.56,1,2.0,0.0,0.0,0.0,1849.0,49.0,9492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,5.0,14.0,5.0,194.0,4.433048433048433,8.0,0.041237113402061855
3BGEFHL0JHEL8I3UU0A0G1OJRYOJBS,3hours,0.35,4,52.2,52.16988843,51.90958486,53.12942516,51.9363319,55.14,50.5,17.97,56.38,55.5,17.92,1.7607113518855761,9.43,10.5,5.29,9.14,11.5,5.04,7.43,4.5,5.14,0.98,0.75,0.66,3BGEFHL0JHEL8I3UU0A0G1OJRYOJBS,10800.0,0.35,4.0,0.3866,104.0,5.0,20.8,24.0,7.0,50.0,24.0,36.0,39.0,18.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.414,0.5448,0.8784,2,5.0,0.0,3.0,4.0,7292.0,102.0,113706.0,0.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,20.0,0.0,29.0,2.0,0.0,5.0,92.0,36.0,1925.0,3.6723646723646723,5.0,0.0025974025974025974
