imageID; Input.timeAlloted; Input.reward; Input.hitsAvailable; Answer.Q_ABILITY; Answer.Q_COMPLEX; Answer.Q_DIFFICULT; Answer.Q_FREQUENCY; Answer.Q_Intresting; Answer.Q_OverallEffort; Answer.Q_PAYMENT; Answer.Q_TAKE; Answer.vreward; AMOT; ENJ; EXT; IDEN; INTRO; RAI; threshold; windows greater than threshold; largest connected window (no. of windows); The average size of connected regions; histogram_0; histogram_1; histogram_2; histogram_3; histogram_4; histogram_5; histogram_6; histogram_7; histogram_8; histogram_9; histogram_10; densities_0; densities_1; densities_2; densities_3; densities_4; densities_5; densities_6; densities_7; a.count; a.innerHref(#); bonus; button; characters; div; fileSize; header.h1; header.h2; header.h3; header.h4; header.h5; img.count; img.over100px; img.under100px; input.count; input.required; input.type.button; input.type.checkbox; input.type.color; input.type.date; input.type.datetime; input.type.datetime-local; input.type.email; input.type.file; input.type.hidden; input.type.image; input.type.month; input.type.number; input.type.password; input.type.radio; input.type.range; input.type.reset; input.type.search; input.type.submit; input.type.tel; input.type.text; input.type.text.readonly; input.type.time; input.type.url; input.type.week; p; selection; span; textarea.count; video; z_sum_inputs; Sentences; Subclauses; Words; AvgWordLength; numUniqueStems; avgUniqueStems
3XCMB0010Q8CROANL93DZ0TZ7HDP3B; 600.0; 0.03; 6.0; 1; 4.0; 4.0; 14.0; 6.0; 33.0; 0.04; 16.0; 0.03; 1.0; 4.75; 7.0; 6.0; 1.0; 0.5; 0.0815; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.122; 0.0; 0.0; 0.0411; 0.0; 0.0; 59.0; 0.0; 0.0; 7.0; 28281.0; 189.0; 103271.0; 3.0; 13.0; 1.0; 0.0; 0.0; 84.0; 7.0; 74.0; 45.0; 0.0; 4.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 2.0; 0.0; 0.0; 0.0; 0.0; 0.0; 35.0; 0.0; 0.0; 0.0; 0.0; 44.0; 1.0; 45.0; 1.0; 0.0; 39.0; 308.0; 270.0; 5150.0; 3.825573192239859; 0.0; 0.0
3XCMB0010Q8CROANL93DZ0TZ7HDP3B; 600.0; 0.03; 6.0; 1; 6.0; 3.0; 1.0; 1.0; 44.0; 0.15; 2.0; 0.03; 1.0; 4.75; 7.0; 6.0; 1.0; 0.5; 0.0815; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.122; 0.0; 0.0; 0.0411; 0.0; 0.0; 59.0; 0.0; 0.0; 7.0; 28281.0; 189.0; 103271.0; 3.0; 13.0; 1.0; 0.0; 0.0; 84.0; 7.0; 74.0; 45.0; 0.0; 4.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 2.0; 0.0; 0.0; 0.0; 0.0; 0.0; 35.0; 0.0; 0.0; 0.0; 0.0; 44.0; 1.0; 45.0; 1.0; 0.0; 39.0; 308.0; 270.0; 5150.0; 3.825573192239859; 0.0; 0.0
3XCMB0010Q8CROANL93DZ0TZ7HDP3B; 600.0; 0.03; 6.0; 1; 10.0; 11.0; 1.0; 1.0; 58.0; 0.15; 0.0; 0.03; 1.0; 4.75; 7.0; 6.0; 1.0; 0.5; 0.0815; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.122; 0.0; 0.0; 0.0411; 0.0; 0.0; 59.0; 0.0; 0.0; 7.0; 28281.0; 189.0; 103271.0; 3.0; 13.0; 1.0; 0.0; 0.0; 84.0; 7.0; 74.0; 45.0; 0.0; 4.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 2.0; 0.0; 0.0; 0.0; 0.0; 0.0; 35.0; 0.0; 0.0; 0.0; 0.0; 44.0; 1.0; 45.0; 1.0; 0.0; 39.0; 308.0; 270.0; 5150.0; 3.825573192239859; 0.0; 0.0
3XCMB0010Q8CROANL93DZ0TZ7HDP3B; 600.0; 0.03; 6.0; 1; 3.0; 0.0; 2.0; 0.0; 34.0; 0.5; 0.0; 0.03; 1.0; 4.75; 7.0; 6.0; 1.0; 0.5; 0.0815; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.122; 0.0; 0.0; 0.0411; 0.0; 0.0; 59.0; 0.0; 0.0; 7.0; 28281.0; 189.0; 103271.0; 3.0; 13.0; 1.0; 0.0; 0.0; 84.0; 7.0; 74.0; 45.0; 0.0; 4.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 2.0; 0.0; 0.0; 0.0; 0.0; 0.0; 35.0; 0.0; 0.0; 0.0; 0.0; 44.0; 1.0; 45.0; 1.0; 0.0; 39.0; 308.0; 270.0; 5150.0; 3.825573192239859; 0.0; 0.0
3XCMB0010Q8CROANL93DZ0TZ7HDP3B; 600.0; 0.03; 6.0; 1; 5.0; 7.0; 13.0; 6.0; 42.0; 0.15; 13.0; 0.03; 1.0; 4.75; 7.0; 6.0; 1.0; 0.5; 0.0815; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.122; 0.0; 0.0; 0.0411; 0.0; 0.0; 59.0; 0.0; 0.0; 7.0; 28281.0; 189.0; 103271.0; 3.0; 13.0; 1.0; 0.0; 0.0; 84.0; 7.0; 74.0; 45.0; 0.0; 4.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 2.0; 0.0; 0.0; 0.0; 0.0; 0.0; 35.0; 0.0; 0.0; 0.0; 0.0; 44.0; 1.0; 45.0; 1.0; 0.0; 39.0; 308.0; 270.0; 5150.0; 3.825573192239859; 0.0; 0.0
3XCMB0010Q8CROANL93DZ0TZ7HDP3B; 600.0; 0.03; 6.0; 1; 0.0; 2.0; 8.0; 2.0; 21.0; 0.05; 7.0; 0.03; 1.0; 4.75; 7.0; 6.0; 1.0; 0.5; 0.0815; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.122; 0.0; 0.0; 0.0411; 0.0; 0.0; 59.0; 0.0; 0.0; 7.0; 28281.0; 189.0; 103271.0; 3.0; 13.0; 1.0; 0.0; 0.0; 84.0; 7.0; 74.0; 45.0; 0.0; 4.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 2.0; 0.0; 0.0; 0.0; 0.0; 0.0; 35.0; 0.0; 0.0; 0.0; 0.0; 44.0; 1.0; 45.0; 1.0; 0.0; 39.0; 308.0; 270.0; 5150.0; 3.825573192239859; 0.0; 0.0
3XCMB0010Q8CROANL93DZ0TZ7HDP3B; 600.0; 0.03; 6.0; 1; 0.0; 1.0; 15.0; 18.0; 25.0; 0.02; 17.0; 0.03; 1.0; 4.75; 7.0; 6.0; 1.0; 0.5; 0.0815; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.122; 0.0; 0.0; 0.0411; 0.0; 0.0; 59.0; 0.0; 0.0; 7.0; 28281.0; 189.0; 103271.0; 3.0; 13.0; 1.0; 0.0; 0.0; 84.0; 7.0; 74.0; 45.0; 0.0; 4.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 2.0; 0.0; 0.0; 0.0; 0.0; 0.0; 35.0; 0.0; 0.0; 0.0; 0.0; 44.0; 1.0; 45.0; 1.0; 0.0; 39.0; 308.0; 270.0; 5150.0; 3.825573192239859; 0.0; 0.0
3XCMB0010Q8CROANL93DZ0TZ7HDP3B; 600.0; 0.03; 6.0; 1; 16.0; 2.0; 9.0; 15.0; 32.0; 0.2; 11.0; 0.03; 1.0; 4.75; 7.0; 6.0; 1.0; 0.5; 0.0815; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.122; 0.0; 0.0; 0.0411; 0.0; 0.0; 59.0; 0.0; 0.0; 7.0; 28281.0; 189.0; 103271.0; 3.0; 13.0; 1.0; 0.0; 0.0; 84.0; 7.0; 74.0; 45.0; 0.0; 4.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 2.0; 0.0; 0.0; 0.0; 0.0; 0.0; 35.0; 0.0; 0.0; 0.0; 0.0; 44.0; 1.0; 45.0; 1.0; 0.0; 39.0; 308.0; 270.0; 5150.0; 3.825573192239859; 0.0; 0.0
3XCMB0010Q8CROANL93DZ0TZ7HDP3B; 600.0; 0.03; 6.0; 1; 2.0; 3.0; 15.0; 18.0; 17.0; 0.1; 16.0; 0.03; 1.0; 4.75; 7.0; 6.0; 1.0; 0.5; 0.0815; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.122; 0.0; 0.0; 0.0411; 0.0; 0.0; 59.0; 0.0; 0.0; 7.0; 28281.0; 189.0; 103271.0; 3.0; 13.0; 1.0; 0.0; 0.0; 84.0; 7.0; 74.0; 45.0; 0.0; 4.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 2.0; 0.0; 0.0; 0.0; 0.0; 0.0; 35.0; 0.0; 0.0; 0.0; 0.0; 44.0; 1.0; 45.0; 1.0; 0.0; 39.0; 308.0; 270.0; 5150.0; 3.825573192239859; 0.0; 0.0
3XCMB0010Q8CROANL93DZ0TZ7HDP3B; 600.0; 0.03; 6.0; 1; 0.0; 0.0; 8.0; 6.0; 26.0; 0.05; 14.0; 0.03; 1.0; 4.75; 7.0; 6.0; 1.0; 0.5; 0.0815; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.122; 0.0; 0.0; 0.0411; 0.0; 0.0; 59.0; 0.0; 0.0; 7.0; 28281.0; 189.0; 103271.0; 3.0; 13.0; 1.0; 0.0; 0.0; 84.0; 7.0; 74.0; 45.0; 0.0; 4.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 2.0; 0.0; 0.0; 0.0; 0.0; 0.0; 35.0; 0.0; 0.0; 0.0; 0.0; 44.0; 1.0; 45.0; 1.0; 0.0; 39.0; 308.0; 270.0; 5150.0; 3.825573192239859; 0.0; 0.0
