imageID,WorkerId,Answer.Q_OverallEffort,Answer.Q_COMPLEX,Answer.Q_DIFFICULT,Answer.Q_Intresting,Answer.Q_TAKE,Answer.Q_FREQUENCY,OverallEffort_mean,threshold,windows greater than threshold,largest connected window (no. of windows),The average size of connected regions,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,"25% of windows have density equal to or less","50% of windows have density equal to or less","75% of windows have density equal to or less","95% of windows have density equal to or less","98% of windows have density equal to or less","100% of windows have density equal to or less",a.count,a.innerHref(#),bonus,button,characters,div,fileSize,header.h1,header.h2,header.h3,header.h4,header.h5,img.count,img.over100px,img.under100px,input.count,input.required,input.type.button,input.type.checkbox,input.type.color,input.type.date,input.type.datetime,input.type.datetime-local,input.type.email,input.type.file,input.type.hidden,input.type.image,input.type.month,input.type.number,input.type.password,input.type.radio,input.type.range,input.type.reset,input.type.search,input.type.submit,input.type.tel,input.type.text,input.type.text.readonly,input.type.time,input.type.url,input.type.week,p,selection,span,textarea.count,video,z_sum_inputs,Sentences,Subclauses,Words,AvgWordLength,numUniqueStems,avgUniqueStems
3XQ5ITPVUWCZXHDQO612ZU9R46PQTU,A3298CNSQI60HU,46.0,12.0,7.0,11.0,17.0,5.0,53.2,0.3752,65.0,3.0,21.67,24.0,17.0,9.0,21.0,23.0,6.0,3.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,0.1152,0.44,1.0,2.0,0.0,0.0,0.0,2005.0,37.0,7053.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,33.0,7.0,303.0,3.78754578755,0.0,0.0
3XQ5ITPVUWCZXHDQO612ZU9R46PQTU,A3RIFUEQ95MR16,33.0,0.0,2.0,1.0,0.0,1.0,53.2,0.3752,65.0,3.0,21.67,24.0,17.0,9.0,21.0,23.0,6.0,3.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,0.1152,0.44,1.0,2.0,0.0,0.0,0.0,2005.0,37.0,7053.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,33.0,7.0,303.0,3.78754578755,0.0,0.0
3XQ5ITPVUWCZXHDQO612ZU9R46PQTU,A19LVWX8ZLO6CS,116.0,20.0,20.0,0.0,0.0,0.0,53.2,0.3752,65.0,3.0,21.67,24.0,17.0,9.0,21.0,23.0,6.0,3.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,0.1152,0.44,1.0,2.0,0.0,0.0,0.0,2005.0,37.0,7053.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,33.0,7.0,303.0,3.78754578755,0.0,0.0
3XQ5ITPVUWCZXHDQO612ZU9R46PQTU,A1XJ9VFOJ4LP2X,33.0,0.0,0.0,13.0,13.0,8.0,53.2,0.3752,65.0,3.0,21.67,24.0,17.0,9.0,21.0,23.0,6.0,3.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,0.1152,0.44,1.0,2.0,0.0,0.0,0.0,2005.0,37.0,7053.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,33.0,7.0,303.0,3.78754578755,0.0,0.0
3XQ5ITPVUWCZXHDQO612ZU9R46PQTU,AWJ5TLP0KOYFX,38.0,0.0,4.0,11.0,14.0,0.0,53.2,0.3752,65.0,3.0,21.67,24.0,17.0,9.0,21.0,23.0,6.0,3.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,0.1152,0.44,1.0,2.0,0.0,0.0,0.0,2005.0,37.0,7053.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,33.0,7.0,303.0,3.78754578755,0.0,0.0
3YNFDCZ5R4IX1UZP9S56QRIUL8YNRO,ASL1MFFPUB2ZW,58.0,2.0,2.0,10.0,1.0,6.0,55.4,0.4703,55.0,3.0,18.33,11.0,6.0,6.0,7.0,6.0,26.0,12.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.88,0.0,0.0,0.0,0.0,1433.0,4.0,3442.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,14.0,14.0,226.0,4.472,0.0,0.0
3YNFDCZ5R4IX1UZP9S56QRIUL8YNRO,A28FW73RBVGYZ9,72.0,6.0,10.0,6.0,8.0,4.0,55.4,0.4703,55.0,3.0,18.33,11.0,6.0,6.0,7.0,6.0,26.0,12.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.88,0.0,0.0,0.0,0.0,1433.0,4.0,3442.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,14.0,14.0,226.0,4.472,0.0,0.0
3YNFDCZ5R4IX1UZP9S56QRIUL8YNRO,AWMQYV1RQM94M,41.0,15.0,15.0,16.0,1.0,1.0,55.4,0.4703,55.0,3.0,18.33,11.0,6.0,6.0,7.0,6.0,26.0,12.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.88,0.0,0.0,0.0,0.0,1433.0,4.0,3442.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,14.0,14.0,226.0,4.472,0.0,0.0
3YNFDCZ5R4IX1UZP9S56QRIUL8YNRO,A1X0H6VAK3AQE9,56.0,2.0,2.0,10.0,0.0,4.0,55.4,0.4703,55.0,3.0,18.33,11.0,6.0,6.0,7.0,6.0,26.0,12.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.88,0.0,0.0,0.0,0.0,1433.0,4.0,3442.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,14.0,14.0,226.0,4.472,0.0,0.0
3YNFDCZ5R4IX1UZP9S56QRIUL8YNRO,A2VRDE2FHCBMF8,50.0,6.0,6.0,2.0,4.0,4.0,55.4,0.4703,55.0,3.0,18.33,11.0,6.0,6.0,7.0,6.0,26.0,12.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.88,0.0,0.0,0.0,0.0,1433.0,4.0,3442.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,14.0,14.0,226.0,4.472,0.0,0.0
