imageID;text densities;Histogram of windows with text densitites b/w 0:0.1:1;threshold;windows greater than threshold;largest connected window (no. of windows);largest connected window in pixels;The average size of connected regions;
306OACM7G04QOX49OC3VEMIMU7KA8L.png;0.2744,0.2035,0.0000,0.2857,0.2279,0.0655,0.1016,0.1290,0.0628,0.0703,0.0894,0.0101,0.0107,0.0500,0.0633,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0279,0.0000,0.0000,0.0000,0.0000,0.0000,0.0841,0.0000,0.0332,0.0000,0.0000,0.0238,0.0000,0.0000,0.0424,0.0000,0.0000,0.0419,0.0000,0.0000,0.0140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;16,2,3,0,0,0,0,0,0,0,0,;0.0910;6;6;409200;6.00;
30E2X49V611K26Z0IIHLB47CQY53NF.png;0.0000,0.0000,0.3582,0.4448,0.1436,0.0288,0.1819,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;3,2,0,1,1,0,0,0,0,0,0,;0.1726;3;3;204600;3.00;
30E2X49V611K26Z0IIHLB47CQY63NG.png;0.2475,0.0000,0.0244,0.0244,0.0244,0.0309,0.0000,0.0339,0.0385,0.0223,0.0339,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.4100,0.0000,0.0716,0.0000,0.1078,0.0000,0.0015,0.0000,0.2434,0.0842,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2459,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;11,0,3,1,0,0,0,0,0,0,0,;0.0968;5;3;204600;2.50;
30GUUI0R316PRKEN69AJEXY15MMBCT.png;0.0787,0.1223,0.1373,0.1284,0.1799,0.1090,0.0713,0.0621,0.1209,0.0143,0.1944,0.1467,0.1756,0.1132,0.0000,0.1247,0.0585,0.1816,0.0000,0.0128,0.0000,0.1440,0.0000,0.2814,0.0000,0.3930,0.0145,0.1144,0.0000,0.0000,0.0000,0.0663,0.0000,0.1650,0.0000,0.0000,0.0000,0.0000,0.0549,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;11,14,1,1,0,0,0,0,0,0,0,;0.1215;13;4;272800;4.33;
319N3DB42B6LKGW48RIT1IUY6MJEPG.png;0.0182,0.0657,0.0416,0.0234,0.0299,0.0000,0.0000,0.0000,0.0000,0.0430,0.0591,0.0804,0.0499,0.0545,0.0490,0.0637,0.0120,0.0000,0.0000,0.1774,0.0000,0.1417,0.0000,0.2209,0.0000,0.1124,0.0000,0.1143,0.0000,0.1776,0.0000,0.1446,0.0450,0.0650,0.0000,0.0441,0.0000,0.0000,0.0429,0.0000,0.0000,0.0762,0.0000,0.0000,0.0450,0.0000,0.0000,0.0556,0.0000,0.0000,0.0076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;20,6,1,0,0,0,0,0,0,0,0,;0.0736;9;4;272800;3.00;
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP.png;0.0000,0.1552,0.3513,0.4878,0.2392,0.0000,0.1123,0.3578,0.0562,0.2385,0.0000,0.1599,0.1317,0.0571,0.2376,0.0000,0.0000,0.0000,0.0000,0.3700,0.0977,0.0000,0.0000,0.1600,0.0000,0.2050,0.0000,0.0000,0.0000,0.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0465,0.0000,0.0000,0.0595,0.0000,0.0000,0.0000,0.0000,0.0000,0.1074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;6,6,3,4,1,0,0,0,0,0,0,;0.2000;9;5;341000;3.33;
31QBDMKNDPO96CGOU6OI3UH1N96L85.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2733,0.0843,0.0000,0.0000,0.2165,0.2091,0.0000,0.0000,0.0211,0.0000,0.0038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0640,0.0000,0.0000,0.0388,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;4,1,2,0,0,0,0,0,0,0,0,;0.1139;3;3;204600;3.00;
31QOF9ABLNAV27TO4PXO0GLATWO1L1.png;0.0000,0.2627,0.2694,0.1880,0.0624,0.2561,0.3355,0.1567,0.2909,0.1693,0.3294,0.1464,0.0000,0.0000,0.0000,0.0000,0.0000,0.2958,0.0000,0.2089,0.1041,0.6040,0.0000,0.0457,0.0000,0.0000,0.0556,0.0000,0.0000,0.0000,0.0000,0.0000,0.4252,0.1210,0.0000,0.0021,0.0000,0.0000,0.0675,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0423,0.0675,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;7,6,5,2,1,1,0,0,0,0,0,;0.1959;10;6;409200;3.33;
31R9JPCYP6DVE0AQVNO2QFRENFMWRA.png;0.0374,0.3434,0.1554,0.1070,0.2226,0.0010,0.2616,0.0969,0.2059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;3,2,2,1,0,0,0,0,0,0,0,;0.1590;4;4;272800;4.00;
31TTIPZ8XM69HILWQZWMCQMN1KS3GE.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0446,0.1805,0.2608,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0823,0.0000,0.2167,0.0000,0.4363,0.0000,0.6252,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0910,0.0000,0.0000,0.2309,0.0000,0.0000,0.1917,0.0000,0.0000,0.1526,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;3,3,3,0,1,0,1,0,0,0,0,;0.2284;4;1;68200;4.00;
