imageID;text densities;Histogram of windows with text densitites b/w 0:0.1:1;threshold;windows greater than threshold;largest connected window (no. of windows);largest connected window in pixels;The average size of connected regions;
306OACM7G04QOX49OC3VEMIMU7KA8L.png;0.2690,0.2145,0.0000,0.3098,0.2360,0.0778,0.0761,0.1095,0.0470,0.0527,0.0779,0.0076,0.0080,0.0520,0.0546,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0279,0.0000,0.0019,0.0000,0.0018,0.0000,0.0491,0.0000,0.0177,0.0000,0.0000,0.0000,0.0000,0.0000,0.0299,0.0000,0.0000,0.0295,0.0000,0.0000,0.0098,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;13,0,4,0,0,0,0,0,0,0,0,;0.0766;7;7;637000;7.00;
30E2X49V611K26Z0IIHLB47CQY53NF.png;0.0000,0.0000,0.4151,0.5313,0.1715,0.0316,0.2265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0384,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;2,1,1,0,1,1,0,0,0,0,0,;0.2357;2;1;91000;2.00;
30E2X49V611K26Z0IIHLB47CQY63NG.png;0.2330,0.0000,0.0661,0.0232,0.0668,0.1246,0.0000,0.1131,0.1316,0.0703,0.1062,0.0015,0.0000,0.0000,0.0000,0.0000,0.0000,0.2676,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;5,3,2,1,0,0,0,0,0,0,0,;0.1309;4;1;91000;4.00;
30GUUI0R316PRKEN69AJEXY15MMBCT.png;0.1040,0.1293,0.1406,0.1855,0.2655,0.1715,0.0767,0.0830,0.1444,0.0203,0.2276,0.2107,0.2519,0.1592,0.0000,0.1431,0.0852,0.0932,0.0000,0.0000,0.0000,0.0260,0.0000,0.1102,0.0000,0.2154,0.0000,0.0114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0939,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;9,8,5,0,0,0,0,0,0,0,0,;0.1340;11;10;910000;5.50;
319N3DB42B6LKGW48RIT1IUY6MJEPG.png;0.0421,0.1632,0.1161,0.0539,0.0725,0.0000,0.0000,0.0000,0.0000,0.0950,0.1205,0.1626,0.1003,0.1148,0.1062,0.1137,0.0253,0.0000,0.0000,0.0860,0.0000,0.0612,0.0000,0.0939,0.0000,0.0516,0.0000,0.0509,0.0000,0.0947,0.0000,0.0811,0.0025,0.0381,0.0000,0.0024,0.0000,0.0000,0.0019,0.0000,0.0000,0.0179,0.0000,0.0000,0.0025,0.0000,0.0000,0.0030,0.0000,0.0000,0.0000,;16,6,0,0,0,0,0,0,0,0,0,;0.0694;14;9;819000;4.67;
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP.png;0.0000,0.1777,0.4023,0.5234,0.2682,0.0000,0.1255,0.4047,0.0421,0.2714,0.0000,0.1599,0.1500,0.0428,0.2708,0.0000,0.0000,0.0000,0.0000,0.2651,0.0000,0.0000,0.0000,0.1146,0.0000,0.1469,0.0000,0.0000,0.0000,0.2651,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;2,6,5,2,0,1,0,0,0,0,0,;0.2269;8;5;455000;4.00;
31QBDMKNDPO96CGOU6OI3UH1N96L85.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2049,0.0632,0.0000,0.0000,0.1622,0.1858,0.0000,0.0000,0.0638,0.0000,0.0135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;3,3,0,0,0,0,0,0,0,0,0,;0.1156;3;3;273000;3.00;
31QOF9ABLNAV27TO4PXO0GLATWO1L1.png;0.0000,0.3112,0.2947,0.1998,0.0593,0.2831,0.3504,0.1626,0.3281,0.1785,0.3822,0.1414,0.0000,0.0000,0.0000,0.0000,0.0000,0.1471,0.0000,0.2068,0.0392,0.6361,0.0000,0.0041,0.0000,0.0000,0.0132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1224,0.0000,0.0000,0.0000,0.0000,0.1012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;4,7,2,4,0,0,1,0,0,0,0,;0.2085;7;6;546000;3.50;
31R9JPCYP6DVE0AQVNO2QFRENFMWRA.png;0.0280,0.3634,0.2077,0.1922,0.2599,0.0014,0.2336,0.0726,0.1543,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;2,3,2,1,0,0,0,0,0,0,0,;0.1681;5;5;455000;5.00;
31TTIPZ8XM69HILWQZWMCQMN1KS3GE.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0660,0.2706,0.3909,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1299,0.0000,0.2900,0.0000,0.3137,0.0000,0.3734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0129,0.0000,0.0000,0.0217,0.0000,0.0000,0.0141,;4,1,2,3,0,0,0,0,0,0,0,;0.1883;5;3;273000;2.50;
