imageID;text densities;Histogram of windows with text densitites b/w 0:0.1:1;threshold;windows greater than threshold;largest connected window (no. of windows);largest connected window in pixels;The average size of connected regions;
306OACM7G04QOX49OC3VEMIMU7KA8L.png;0.2417,0.1549,0.1569,0.0928,0.0499,0.0427,0.0300,0.0273,0.0504,0.0000,0.0000,0.0149,0.0000,0.0255,0.0000,0.0088,0.0000,0.0149,0.0000,0.0000,0.0197,0.0000,0.0000,0.0000,;10,2,1,0,0,0,0,0,0,0,0,;0.0665;4;4;728000;4.00;
30E2X49V611K26Z0IIHLB47CQY53NF.png;0.0000,0.4732,0.1015,0.1133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;1,1,0,0,1,0,0,0,0,0,0,;0.2293;1;1;182000;1.00;
30E2X49V611K26Z0IIHLB47CQY63NG.png;0.1165,0.0447,0.0957,0.0565,0.1009,0.0538,0.0000,0.0000,0.0000,0.1338,0.0000,0.0000,0.0000,0.1833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;5,3,0,0,0,0,0,0,0,0,0,;0.0982;4;2;364000;4.00;
30GUUI0R316PRKEN69AJEXY15MMBCT.png;0.1167,0.1630,0.2185,0.0798,0.0824,0.2192,0.2056,0.0716,0.0000,0.0466,0.0000,0.0681,0.0000,0.1134,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;5,4,2,0,0,0,0,0,0,0,0,;0.1259;4;3;546000;2.00;
319N3DB42B6LKGW48RIT1IUY6MJEPG.png;0.1026,0.0850,0.0363,0.0000,0.0475,0.1415,0.1075,0.1100,0.0159,0.0430,0.0000,0.0776,0.0000,0.0513,0.0006,0.0879,0.0000,0.0024,0.0000,0.0000,0.0099,0.0000,0.0000,0.0027,;11,1,0,0,0,0,0,0,0,0,0,;0.0576;7;6;1092000;3.50;
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP.png;0.0888,0.4629,0.1341,0.2651,0.1568,0.0799,0.0964,0.1354,0.0000,0.1325,0.0000,0.0573,0.0000,0.0734,0.0000,0.1325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;5,5,1,0,1,0,0,0,0,0,0,;0.1513;3;3;546000;3.00;
31QBDMKNDPO96CGOU6OI3UH1N96L85.png;0.0000,0.0000,0.0000,0.0000,0.1024,0.0316,0.0811,0.0929,0.0000,0.0386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;5,0,0,0,0,0,0,0,0,0,0,;0.0693;3;3;546000;3.00;
31QOF9ABLNAV27TO4PXO0GLATWO1L1.png;0.1556,0.2473,0.1712,0.2565,0.2533,0.2618,0.0000,0.0000,0.0495,0.1770,0.0000,0.3201,0.0000,0.0000,0.0066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0506,0.0000,0.0000,0.0000,;2,3,4,1,0,0,0,0,0,0,0,;0.1772;5;4;728000;2.50;
31R9JPCYP6DVE0AQVNO2QFRENFMWRA.png;0.1957,0.2000,0.1307,0.1531,0.0771,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;1,4,0,0,0,0,0,0,0,0,0,;0.1513;3;3;546000;3.00;
31TTIPZ8XM69HILWQZWMCQMN1KS3GE.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0649,0.0000,0.3018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0173,;2,1,1,0,0,0,0,0,0,0,0,;0.1381;2;1;182000;2.00;
