imageID,"25% of windows have density equal to or less","50% of windows have density equal to or less","75% of windows have density equal to or less","95% of windows have density equal to or less","98% of windows have density equal to or less","100% of windows have density equal to or less"
306OACM7G04QOX49OC3VEMIMU7KA8L,0.0,0.0,0.0585,0.3239,0.4705,0.5113
30E2X49V611K26Z0IIHLB47CQY53NF,0.0,0.0,0.0609,0.2029,0.4524,0.4524
30E2X49V611K26Z0IIHLB47CQY63NG,0.0,0.0171,0.0567,0.2304,0.2813,0.2813
30GUUI0R316PRKEN69AJEXY15MMBCT,0.0,0.0099,0.1181,0.3107,0.4052,0.4215
319N3DB42B6LKGW48RIT1IUY6MJEPG,0.0,0.0,0.0623,0.2811,0.3511,0.5774
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP,0.0,0.04,0.1849,0.502,0.5055,0.5105
31QBDMKNDPO96CGOU6OI3UH1N96L85,0.0,0.0,0.0317,0.1977,0.248,0.2529
31QOF9ABLNAV27TO4PXO0GLATWO1L1,0.0,0.1054,0.2194,0.4347,0.5269,0.6208
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,0.0,0.0,0.0697,0.7364,0.8168,0.9703
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,0.0,0.0,0.0,0.2469,0.2964,0.4462
31ZZN31VRB1J1I6XNAS9X9DBA59QRV,0.0,0.0,0.0603,0.2314,0.5141,0.5907
3203J2GC2PK4HSXGZ2GG107218V84Q,0.0,0.0106,0.0778,0.3151,0.3612,0.6446
3203J2GC2PK4HSXGZ2GG1073Z7V84O,0.0,0.0806,0.1835,0.3581,0.4303,0.6449
3203J2GC2PK4HSXGZ2GG1074VAS84P,0.0,0.0,0.0,0.2074,0.3521,0.4304
320GLP60AN5TS9K5PU8IGRVPKUZ14P,0.0,0.0431,0.1296,0.2822,0.3307,0.4347
320GLP60AN6FM9FGZXIOL5AG38941T,0.0,0.1316,0.3988,0.7226,0.7377,0.7436
323KIQYDLQ7S9UIT4NE6QLFONB14CB,0.0,0.0,0.0,0.2073,0.2581,0.4001
3244QHISJ1ITNE98CFK36E7RG91L0N,0.0,0.0,0.0256,0.1313,0.2317,0.2317
3244QHISK2XKVEPCAXDY38M44I9L04,0.0,0.0,0.0355,0.1698,0.33,0.4872
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W,0.0,0.0,0.0451,0.165,0.1858,0.2323
32GVUSPLEYOYH9SP841K39EVOUOK3Z,0.0,0.0229,0.1365,0.3277,0.577,0.6981
32GVUSPLFZ61Q5EOZV799O813X5K3C,0.0,0.0,0.0287,0.3189,0.4101,0.6667
32JEHGQ0QIPYH7JPSF8OLMHJ8AAU81,0.0,0.0,0.0,0.1859,0.32,1.0
32JRJ3GOYGFHSVM6IWA88RJNYD8U1D,0.0,0.1248,0.2429,0.3991,0.554,0.5768
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,0.0,0.0088,0.1121,0.3164,0.5118,0.5118
32WAV7G60PNC75TK9C1M3A29EH0D36,0.0,0.0,0.0439,0.1968,0.234,0.2496
32WAV7G6ZOBEE25MHO1EVKD7PUBD3N,0.0,0.0,0.0791,0.2233,0.3011,0.3082
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,0.0,0.0,0.0,0.0772,0.1717,0.188
330XZFCZ7RB627L6HWI9543W690TXG,0.0,0.0272,0.2158,0.4923,0.5833,0.8477
33EWWXEH81XUPFZ4BLANE2SZQMJ40X,0.0,0.0,0.0326,0.0731,0.124,0.188
33FLRCV01N0NF725EJLGLLU8UGYORG,0.0,0.0,0.0,0.1679,0.2261,0.2715
33QM7VBL79CAH7ME53S2DMVHTOZ3QX,0.0,0.0354,0.2216,0.4995,0.5759,0.6744
33RX46D1RXVH625SCIG7UWSYT80X1J,0.0,0.0672,0.2292,0.5016,0.6083,0.6964
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,0.0,0.1116,0.1661,0.2436,0.3387,0.4772
344RGS4J7S874QSQIPH3B5TQWFPMPU,0.0,0.0,0.0592,0.4842,0.5455,0.5907
34B3PHKY7L0QRWI1JO5S4NCKMT3NE1,0.0,0.0,0.0867,0.2628,0.448,0.491
34KQN2TBKTGWLIK008X22C5QD2JSAJ,0.0,0.0,0.0,0.1333,0.2782,0.414
34RF8KPUOTU14SPS6MXYXNPWVK1SBB,0.0,0.0,0.0,0.2297,0.4507,0.7675
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_1,0.0,0.0,0.0,0.2833,0.4679,0.7917
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,0.0,0.0,0.0,0.247,0.4712,0.7165
34RF8KPUOTU14SPS6MXYXNPWVK7SBH,0.0,0.0,0.0,0.1437,0.3009,0.4938
34YKDDZP3UMABNHOK8ECJ4FCOZJWHB,0.0,0.1578,0.3805,0.7737,0.8243,0.843
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,0.0,0.0,0.0,0.3211,0.4691,0.4721
3589VT1T2BGMXIVHZGNGS492OQIJN8,0.0,0.0,0.0,0.4473,0.4977,0.5964
35DAEVU8JHJ10FFZ10EN4CRDQ8F870,0.0,0.0,0.0,0.2524,0.4277,0.5817
35GRDJC92I6VOWRC3MF6JHNHWWLC7I,0.0,0.0,0.0,0.2457,0.3396,0.5954
35HIM1LU2HRMGPBVQO0P66HG1MBI5I,0.0,0.0,0.2314,0.4245,0.6616,0.7437
35QUA2ABY634ZYN782PTB2BL5I8EGJ,0.0,0.0012,0.1114,0.2204,0.2857,0.2857
35QUA2ABZ7MBAB0HZGYJHQ28USWGE7,0.0,0.0,0.0,0.3429,0.5222,0.6695
361LJMRMCQ5CDYJ025B6700NV8CUR4,0.0,0.0,0.1292,0.4681,0.8548,0.8818
369VX4MEOJAKM0DV8XRK62EAJWKGI1,0.0,0.0,0.0,0.2299,0.3987,0.4673
36ARV8EEH67U95XPYN59VTZKFJ2VA1,0.0,0.0,0.0,0.2309,0.2998,0.4103
36FIWAXJH5YZ4NF13JA9L63DO7Z3AS,0.0057,0.1439,0.2752,0.6219,0.6949,0.746
36HGGQAXL6KTNEA2DMTHLEEUZ4CVBW,0.0,0.0785,0.226,0.5499,0.7443,0.9337
36HGGQAXL6L87J29O35QD9YQWSFBVG,0.0,0.0,0.0271,0.2228,0.3326,0.3326
36IAL8HYOXSPP9QYVLXZPMFW48E4R6,0.0,0.0,0.0652,0.2228,0.2737,0.4148
36MWL0IRGCO0L6PQ7W22BBNT0ICOHL,0.0,0.006,0.1679,0.4244,0.7625,0.7625
36QDS77QN9NG5USZQM0XMAC2L97HFT,0.0,0.0055,0.2653,0.7619,0.8069,0.9172
36QDS77QN9Y3AP81GU3ZJ983H37HFJ,0.0,0.0,0.0307,0.1232,0.1388,0.1388
36R3RQSDPTXRSZ6X7FR6HZHDYAF078,0.0,0.0,0.0,0.0742,0.1542,0.188
375FCEJV4GX4B1VR293XJCDD0I7CCJ,0.0,0.0714,0.2171,0.5666,0.7736,0.9638
375MF9UHMRPR2XWE6NL8JC3TL1HSX9,0.0,0.0,0.0,0.1936,0.4055,0.4055
37672WDDC2JA93V4O46FCCJ2VAJNM9,0.0,0.0,0.0,0.1473,0.4108,0.4108
378UBY8FQ61LFCJMHZWZTRZI59A8TB,0.0,0.108,0.2795,0.6274,0.6861,0.7103
378UBY8FR7AABMKBM232FCEFT60T8E,0.0,0.005,0.1964,0.3915,0.4669,0.6075
379R4POZ46ZM5D7FMP5TH9FBQ7PRXR,0.0,0.0,0.0,0.1334,0.1858,0.2704
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,0.0,0.0,0.0,0.0492,0.1002,0.1582
37CCG24EIZSNBY0O0RYFBPCKLTQZRW_1,0.0,0.0,0.0,0.0656,0.1582,0.1707
37CCG24EIZSNBY0O0RYFBPCKLTQZRW_2,0.0,0.0,0.0,0.0656,0.1539,0.1707
37FXVUXR5NUGX6LAN3N06Z6PNZ6EWN,0.0,0.0,0.0053,0.168,0.1941,0.3011
37NNZ8MO7S6VRHEMSEGUVBLX898EQM,0.0,0.0,0.0,0.2383,0.4866,0.852
37QHTW84X0Z4WRFH6C4VHQ7JNTDJDT,0.0,0.0,0.0,0.1717,0.6443,0.9167
37ZHE2JT1D250TKIB56TICN73UM88S,0.0,0.0042,0.0566,0.2285,0.3084,0.6439
37ZHE2JT1D250TKIB56TICN73UQ88W,0.0,0.0507,0.1329,0.2775,0.2968,0.2968
37ZUGP9H9BONPT0XCKXE3200JPH817,0.0,0.0,0.0973,0.2906,0.3697,0.6456
37ZUGP9H9BONPT0XCKXE3201JQL81F,0.0,0.0,0.0,0.1494,0.2868,0.4342
38464Y8J3VK9Y56OSLPV9KDIFIGV4J,0.0,0.0,0.0319,0.1053,0.1703,0.1703
389X50RO4VDYCDHURIYQ7760LL5343,0.0,0.0075,0.0394,0.1698,0.1819,0.2204
38DNTK7MFN2OC2PZPWU81IIJXME01H,0.0,0.0,0.0477,0.1648,0.2232,0.4889
38DNTK7MFN34LCW85JTSAD2CXFQ01S,0.0,0.0,0.1401,0.4975,0.5077,0.5531
38DNTK7MFN3UAZX8DF8S385AB3E10K,0.0,0.0,0.0924,0.404,0.5441,0.7326
38FWZZ3ILTDK8ICQRL4PWREV0HIYN7,0.0,0.0,0.0787,0.2526,0.2727,0.4814
38GRQLZZQQCOARQX7FK2NWOBS4K0CN,0.0,0.0,0.0,0.0037,0.133,0.7272
38IOEK81UIQHG7BFV93TAAEQ3W496W,0.0,0.0,0.0,0.2903,0.7258,0.7258
38LYNH3Q4ODLGFNEHSAP2J87XNZMGY,0.0,0.0,0.004,0.1599,0.284,0.284
38LYNH3Q5PUFYTLC9WG1VAJL0LTGM5,0.0,0.0646,0.1693,0.3034,0.4338,0.4533
38MNOT6KWIG21RX6PKH1YJB8VKDT05,0.0,0.0,0.0,0.0,0.1858,0.5907
38MNOT6KWIG21RX6PKH1YJB8VKDT05_1,0.0,0.0,0.0,0.2278,0.5283,0.6832
38MNOT6KWIG21RX6PKH1YJB8VKDT05_2,0.0,0.0,0.0,0.2056,0.5283,0.6945
38NH2CI7ROPJ1MAJ3F139HJ5CPPVU5,0.0,0.0,0.1257,0.2874,0.3272,0.4656
38NH2CI7SPCMWUJ4T62C2GD654VVUY,0.0,0.0,0.011,0.1947,0.3291,0.5917
38VQ1AW9T5WCGLEK2ZAP9I6I4O826I,0.0,0.0012,0.2348,0.6892,0.8779,0.8779
390EOHYPK4Q05K2TRHZ1W9N0LW8X3W,0.0,0.0,0.0032,0.1397,0.215,0.285
39393HGTI5QMIY6JHIT1M5IIGWJEOF,0.0,0.1465,0.3595,0.5498,0.5903,0.6358
394TEHR260P29GUZO0UUQSDZ63O65J,0.0,0.0,0.0,0.1204,0.1339,0.1501
39PLFW4P2L2RPNN40J9QB1XCZ2O4HT,0.0,0.0536,0.13,0.2528,0.3183,0.469
39UNKKTVDF8Y9H8JFO9U930XMBHYGJ,0.0,0.0,0.0,0.0,0.0,0.2258
39UNKKTVDFFX9VEX2EW7RYBUQ2JGYD,0.0,0.0,0.1158,0.2558,0.2645,0.4046
39VNNFFKK59EW3XI1HP5P046ZAXXVP,0.0,0.0,0.0032,0.2002,0.2471,0.4582
39Y8ZSVZWWM1XMK47AFGQNZOPQQVZE,0.0,0.0482,0.1204,0.2305,0.3213,0.4358
39Y8ZSVZXXM4Z9DMIL8I9OJZBK9VZ6,0.0,0.0,0.1755,0.3282,0.4105,0.5891
3AA189Q6B51983MEFLORU493K7KMWE,0.0,0.0,0.0337,0.2148,0.2371,0.2987
3AA189Q6B52Z6L7EV3NS06BHCKRWMY,0.0,0.0,0.0099,0.5125,0.5585,0.6207
3AA189Q6C6N6C9XRHK508ZBLMH8WM3,0.0,0.0,0.0,0.2503,0.3422,0.5548
3AA189Q6C6TLNJILLV2LOGYDJT7MWV,0.0,0.0,0.0612,0.3162,0.5287,0.5352
3AJ89545NQHYX91N7X3ADUYHKVTBEA,0.0,0.0409,0.1702,0.435,0.5938,0.5938
3AJ89545NQRFJUS6JU65GFBBEJ7BEW,0.0,0.0,0.0,0.3429,0.5222,0.6695
