imageID, Answer.Q_ABILITY, Answer.Q_COMPLEX, Answer.Q_DIFFICULT, Answer.Q_Intresting, Answer.Q_OverallEffort, Answer.Q_TAKE
3XCMB0010Q8CROANL93DZ0TZ7HDP3B,1,4,4,6,33,16
3XCMB0010Q8CROANL93DZ0TZ7HDP3B,1,6,3,1,44,2
3XCMB0010Q8CROANL93DZ0TZ7HDP3B,1,10,11,1,58,0
3XCMB0010Q8CROANL93DZ0TZ7HDP3B,1,3,0,0,34,0
3XCMB0010Q8CROANL93DZ0TZ7HDP3B,1,5,7,6,42,13
3XCMB0010Q8CROANL93DZ0TZ7HDP3B,1,0,2,2,21,7
3XCMB0010Q8CROANL93DZ0TZ7HDP3B,1,0,1,18,25,17
3XCMB0010Q8CROANL93DZ0TZ7HDP3B,1,16,2,15,32,11
3XCMB0010Q8CROANL93DZ0TZ7HDP3B,1,2,3,18,17,16
3XCMB0010Q8CROANL93DZ0TZ7HDP3B,1,0,0,6,26,14
3ME56J5KH0A6OHM7NB7LNJZ2KW86CO,1,0,0,18,14,20
3ME56J5KH0A6OHM7NB7LNJZ2KW86CO,1,6,5,9,71,4
3ME56J5KH0A6OHM7NB7LNJZ2KW86CO,1,7,6,7,57,5
3ME56J5KH0A6OHM7NB7LNJZ2KW86CO,1,18,18,2,56,1
3ME56J5KH0A6OHM7NB7LNJZ2KW86CO,1,10,4,10,26,10
3ME56J5KH0A6OHM7NB7LNJZ2KW86CO,0,18,20,0,126,0
3ME56J5KH0A6OHM7NB7LNJZ2KW86CO,1,9,10,12,59,4
3ME56J5KH0A6OHM7NB7LNJZ2KW86CO,1,5,4,8,32,7
3ME56J5KH0A6OHM7NB7LNJZ2KW86CO,1,2,2,5,21,1
3ME56J5KH0A6OHM7NB7LNJZ2KW86CO,1,6,10,16,38,18
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,0,5,4,20,41,20
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,1,12,12,10,72,3
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,1,0,0,16,29,19
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,1,4,2,16,71,18
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,1,1,0,19,37,20
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,1,4,2,16,81,16
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,1,2,2,12,28,19
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,1,3,4,16,53,18
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,1,4,2,18,57,20
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,1,10,0,12,26,13
33FLRCV01N0NF725EJLGLLU8UGYORG,0,11,11,1,50,1
33FLRCV01N0NF725EJLGLLU8UGYORG,1,0,13,0,85,-1
33FLRCV01N0NF725EJLGLLU8UGYORG,1,6,4,16,70,16
33FLRCV01N0NF725EJLGLLU8UGYORG,1,18,17,1,62,1
33FLRCV01N0NF725EJLGLLU8UGYORG,1,9,12,4,75,2
33FLRCV01N0NF725EJLGLLU8UGYORG,1,14,13,14,68,5
33FLRCV01N0NF725EJLGLLU8UGYORG,1,2,4,2,40,2
33FLRCV01N0NF725EJLGLLU8UGYORG,1,7,13,1,72,0
33FLRCV01N0NF725EJLGLLU8UGYORG,1,17,14,2,102,1
33FLRCV01N0NF725EJLGLLU8UGYORG,1,0,0,0,19,0
3MKP0VNPL180YVBEBVOO0GDECBIJRU,1,2,9,0,77,0
3MKP0VNPL180YVBEBVOO0GDECBIJRU,1,10,10,3,55,2
3MKP0VNPL180YVBEBVOO0GDECBIJRU,1,10,13,6,59,11
3MKP0VNPL180YVBEBVOO0GDECBIJRU,0,20,20,0,120,0
3MKP0VNPL180YVBEBVOO0GDECBIJRU,1,12,14,6,62,7
3MKP0VNPL180YVBEBVOO0GDECBIJRU,1,10,8,4,64,2
3MKP0VNPL180YVBEBVOO0GDECBIJRU,1,-1,-1,-1,-1,-1
3MKP0VNPL180YVBEBVOO0GDECBIJRU,1,9,11,9,38,7
3MKP0VNPL180YVBEBVOO0GDECBIJRU,1,1,1,7,34,8
3MKP0VNPL180YVBEBVOO0GDECBIJRU,1,6,6,16,38,18
3Q4WZ5V3MNIH1FT2QKH2OURKHS1UGI,1,12,15,16,76,10
3Q4WZ5V3MNIH1FT2QKH2OURKHS1UGI,1,16,16,4,102,2
3Q4WZ5V3MNIH1FT2QKH2OURKHS1UGI,1,11,14,6,55,1
3Q4WZ5V3MNIH1FT2QKH2OURKHS1UGI,1,10,10,14,74,11
3Q4WZ5V3MNIH1FT2QKH2OURKHS1UGI,1,10,6,2,57,3
3Q4WZ5V3MNIH1FT2QKH2OURKHS1UGI,1,6,7,8,38,10
3Q4WZ5V3MNIH1FT2QKH2OURKHS1UGI,1,1,13,6,82,1
3Q4WZ5V3MNIH1FT2QKH2OURKHS1UGI,1,3,3,10,44,16
3Q4WZ5V3MNIH1FT2QKH2OURKHS1UGI,1,-1,10,0,37,10
3Q4WZ5V3MNIH1FT2QKH2OURKHS1UGI,1,11,11,2,49,2
35QUA2ABY634ZYN782PTB2BL5I8EGJ,1,8,5,6,49,13
35QUA2ABY634ZYN782PTB2BL5I8EGJ,1,0,0,10,3,10
35QUA2ABY634ZYN782PTB2BL5I8EGJ,0,12,18,4,41,2
35QUA2ABY634ZYN782PTB2BL5I8EGJ,1,12,12,4,56,3
35QUA2ABY634ZYN782PTB2BL5I8EGJ,1,0,2,12,24,16
