HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,AMOT1,AMOT2,ENJO1,ENJO2R,ENJO3,ENJO4,EXTR1,EXTR2,IDEN1,IDEN2,IDEN3,IDEN4,INTRO1,INTRO2,INTRO3,INTRO4,QC1,QC2,Quiz,Z_CLKStream,Z_Time_AMOT1,Z_Time_AMOT2,Z_Time_ENJO1,Z_Time_ENJO2R,Z_Time_ENJO3,Z_Time_ENJO4,Z_Time_EXTR1,Z_Time_EXTR2,Z_Time_IDEM4,Z_Time_IDEN1,Z_Time_IDEN2,Z_Time_IDEN3,Z_Time_INTRO1,Z_Time_INTRO2,Z_Time_INTRO3,Z_Time_INTRO4,Z_Time_QC1,Z_Time_QC2,Z_tabswitched,Z_tabswitched_Time,_BirthYear,_CMP1,_CMP10,_CMP11,_CMP12,_CMP13,_CMP14,_CMP15,_CMP2,_CMP3,_CMP4,_CMP4R,_CMP5,_CMP6,_CMP6R,_CMP7,_CMP8,_CMP9,_Gender,_HHSize,_HIT_Per_WEEK,_HIT_class,_MoneyUsage,_TimeInCS,AMOT,ENJ,EXT,IDEN,INTRO,RAI
3FULMHZ7OUX4GKQ6X3RECU4DFEYM4R,3XLAOVIRVQDS1CH5SNP7PR7LGQRS96,Workload survey - qualification for next job,"Questions about you and workload in Crowdsourcing, qualification will be given for next job","survey, fun, me, research, work,",$0.15,Wed Dec 14 09:16:28 PST 2016,200,BatchId:2630576;,900,172800,Wed Dec 21 09:16:28 PST 2016,,,30LSNF239UVB47JLYCF0F6WJPEHI25,A1ESCPVSM3GQ95,Approved,Wed Dec 14 22:53:53 PST 2016,Wed Dec 14 22:57:53 PST 2016,Fri Dec 16 22:57:53 PST 2016,Fri Dec 16 12:48:03 PST 2016,,,240,100% (3/3),100% (3/3),100% (1/1),2,1,1,4,1,1,7,7,4,7,7,1,1,1,1,1,1,7,TRUE,IDEN4;ENJO2R;IDEN2;QC1;ENJO3;EXTR2;ENJO4;INTRO3;IDEN3;INTRO4;ENJO1;AMOT1;AMOT1;INTRO2;QC2;QC2;IDEN1;EXTR1;AMOT2;INTRO1;,6.55;1.198,2.1,1.504,14.778,1.699,5.639,2.404,5.085,0,5.224,8.773,5.504,1.409,3.16,2.639,5.569,4.997,3.305;6.287,1,{},1986,EF,PR,PR,EF,MD,EF,MD,TD,EF,PD,PD,PR,TD,TD,PR,TD,EF,Female,4,100,SV,1,3,1.5,1.75,7,4.75,1,-6.75
3FULMHZ7OUX4GKQ6X3RECU4DFEYM4R,3XLAOVIRVQDS1CH5SNP7PR7LGQRS96,Workload survey - qualification for next job,"Questions about you and workload in Crowdsourcing, qualification will be given for next job","survey, fun, me, research, work,",$0.15,Wed Dec 14 09:16:28 PST 2016,200,BatchId:2630576;,900,172800,Wed Dec 21 09:16:28 PST 2016,,,3137ONMDKG5P3WP618AYWVSS6V7GEM,A24F42H3K58D8A,Approved,Wed Dec 14 09:18:11 PST 2016,Wed Dec 14 09:24:09 PST 2016,Fri Dec 16 09:24:09 PST 2016,2016-12-16 17:24:39 UTC,,,358,100% (1/1),100% (1/1),0% (0/0),1,1,4,4,4,4,7,7,5,6,1,2,1,1,1,1,1,7,TRUE,IDEN4;IDEN4;ENJO2R;IDEN2;QC1;ENJO3;EXTR2;ENJO4;INTRO3;IDEN3;INTRO4;ENJO1;AMOT1;INTRO2;QC2;IDEN1;EXTR1;AMOT2;INTRO1;IDEN4;IDEN4;IDEN4;,0.989,5.129,5.012,54.775,9.993,7.256,2.387,1.425,0,13.034,5.643,6.711,2.89,4.052,3.544,4.968,4.151,8.912,1,{},1979,PR,PR,PR,EF,MD,EF,MD,TD,EF,FR,FR,PR,TD,TD,PR,TD,EF,Female,4,"3,000",IF|VV|IA|CC|SV|CA,1,5,1,4,7,3.5,1,-3.5
3FULMHZ7OUX4GKQ6X3RECU4DFEYM4R,3XLAOVIRVQDS1CH5SNP7PR7LGQRS96,Workload survey - qualification for next job,"Questions about you and workload in Crowdsourcing, qualification will be given for next job","survey, fun, me, research, work,",$0.15,Wed Dec 14 09:16:28 PST 2016,200,BatchId:2630576;,900,172800,Wed Dec 21 09:16:28 PST 2016,,,31EUONYN2V3UXKSQKHCG18PGXC6VOZ,AUSDM3KALROGI,Approved,Wed Dec 14 09:34:22 PST 2016,Wed Dec 14 09:38:24 PST 2016,Fri Dec 16 09:38:24 PST 2016,2016-12-16 17:38:39 UTC,,,242,100% (1/1),100% (1/1),0% (0/0),3,2,3,4,3,3,6,6,6,5,6,3,2,2,3,1,1,7,TRUE,IDEN4;ENJO2R;IDEN2;QC1;ENJO3;EXTR2;ENJO4;INTRO3;IDEN3;INTRO4;ENJO1;AMOT1;INTRO2;QC2;IDEN1;EXTR1;AMOT2;INTRO1;,4.272,4.822,1.218,15.833,5.033,5.616,1.738,2.464,0,4.008,7.746,2.985,2.994,3.25,3.885,5.744,5.567,4.42,1,{},1975,EF,PR,TD,MD,MD,PD,FR,TD,TD,PD,FR,PR,TD,TD,PR,TD,FR,Female,4,30,SV,1,3,2.5,3.25,6,5,2,-2.5
3FULMHZ7OUX4GKQ6X3RECU4DFEYM4R,3XLAOVIRVQDS1CH5SNP7PR7LGQRS96,Workload survey - qualification for next job,"Questions about you and workload in Crowdsourcing, qualification will be given for next job","survey, fun, me, research, work,",$0.15,Wed Dec 14 09:16:28 PST 2016,200,BatchId:2630576;,900,172800,Wed Dec 21 09:16:28 PST 2016,,,31QNSG6A5RTP124EV2K4Y8JDWP287O,AC8IEBY696VJO,Approved,Wed Dec 14 09:51:34 PST 2016,Wed Dec 14 09:58:44 PST 2016,Fri Dec 16 09:58:44 PST 2016,2016-12-16 17:59:39 UTC,,,430,100% (9/9),100% (9/9),0% (0/0),1,1,1,3,5,2,7,7,5,7,5,1,1,1,1,1,1,7,TRUE,IDEN4;ENJO2R;IDEN2;QC1;ENJO3;EXTR2;ENJO4;ENJO4;INTRO3;IDEN3;INTRO4;ENJO1;AMOT1;INTRO2;QC2;IDEN1;EXTR1;AMOT2;INTRO1;,2.873,3.379,1.488,41.861,3.761,4.138;2.778,2.893,2.765,0,6.624,4,5.471,6.431,3.239,3.862,5.904,3.649,7.264,1,{},1983,PR,PR,PR,EF,MD,EF,FR,TD,EF,FR,FR,PR,TD,TD,PR,TD,FR,Female,5,1000,VV|IA|CC|SV|CA,1,5,1,3.25,7,4.5,1,-4
3FULMHZ7OUX4GKQ6X3RECU4DFEYM4R,3XLAOVIRVQDS1CH5SNP7PR7LGQRS96,Workload survey - qualification for next job,"Questions about you and workload in Crowdsourcing, qualification will be given for next job","survey, fun, me, research, work,",$0.15,Wed Dec 14 09:16:28 PST 2016,200,BatchId:2630576;,900,172800,Wed Dec 21 09:16:28 PST 2016,,,326O153BMIYMRCFFZI9QQAPVT3SDEA,A2WBOGH24L2YZI,Approved,Wed Dec 14 09:21:20 PST 2016,Wed Dec 14 09:34:14 PST 2016,Fri Dec 16 09:34:14 PST 2016,2016-12-16 17:34:39 UTC,,,774,100% (1/1),100% (1/1),0% (0/0),2,1,1,2,1,2,5,7,1,3,1,1,1,1,1,1,1,7,TRUE,IDEN4;ENJO2R;IDEN2;QC1;ENJO3;EXTR2;ENJO4;INTRO3;IDEN3;INTRO4;ENJO1;AMOT1;INTRO2;QC2;IDEN1;EXTR1;AMOT2;INTRO1;,3.132,4.128,0.82,557.057,4.817,4.835,1.077,2.089,0,2.328,2.211,3.277,2.367,1.687,2.229,7.188,1.648,8.422,3,;19.135,1989,EF,PR,PR,EF,MD,EF,MD,TD,EF,FR,FR,PR,TD,TD,PR,MD,EF,Male,3,300,IF|IA|SV,2,1,1.5,2.5,6,1.5,1,-6.5
3FULMHZ7OUX4GKQ6X3RECU4DFEYM4R,3XLAOVIRVQDS1CH5SNP7PR7LGQRS96,Workload survey - qualification for next job,"Questions about you and workload in Crowdsourcing, qualification will be given for next job","survey, fun, me, research, work,",$0.15,Wed Dec 14 09:16:28 PST 2016,200,BatchId:2630576;,900,172800,Wed Dec 21 09:16:28 PST 2016,,,326O153BMIYMRCFFZI9QQAPVT3VDED,AJDWFBDGUPY14,Approved,Wed Dec 14 09:29:02 PST 2016,Wed Dec 14 09:36:42 PST 2016,Fri Dec 16 09:36:42 PST 2016,2016-12-16 17:37:39 UTC,,,460,100% (4/4),100% (4/4),0% (0/0),1,1,4,1,5,4,7,7,4,6,3,4,3,1,5,3,1,7,TRUE,IDEN4;ENJO2R;IDEN2;QC1;ENJO3;EXTR2;ENJO4;INTRO3;IDEN3;INTRO4;ENJO1;AMOT1;INTRO2;QC2;IDEN1;EXTR1;AMOT2;INTRO1;,2.69,2.564,1.343,25.772,7.893,8.445,1.648,1.261,0,6.439,8.433,12.82,5.298,3.638,3.513,6.301,3.535,14.881,5,;33.151;17.178,1980,PR,PR,PR,EF,MD,EF,MD,TD,EF,PD,PD,PR,PD,PD,PR,MD,EF,Female,2,2000,IF|VV|IA|CC|SV|CA,1,5,1,5,7,4.25,3,-2.75
3FULMHZ7OUX4GKQ6X3RECU4DFEYM4R,3XLAOVIRVQDS1CH5SNP7PR7LGQRS96,Workload survey - qualification for next job,"Questions about you and workload in Crowdsourcing, qualification will be given for next job","survey, fun, me, research, work,",$0.15,Wed Dec 14 09:16:28 PST 2016,200,BatchId:2630576;,900,172800,Wed Dec 21 09:16:28 PST 2016,,,32AT8R96GL99IXVJM8JKPRXYGUVSUZ,A12HZGOZQD5YK7,Approved,Wed Dec 14 09:20:03 PST 2016,Wed Dec 14 09:32:48 PST 2016,Fri Dec 16 09:32:48 PST 2016,2016-12-16 17:33:39 UTC,,,765,100% (1/1),100% (1/1),0% (0/0),1,1,4,4,3,2,7,7,7,7,7,2,2,2,2,2,1,7,TRUE,IDEN4;ENJO2R;IDEN2;QC1;ENJO3;EXTR2;ENJO4;INTRO3;IDEN3;INTRO4;INTRO4;ENJO1;AMOT1;INTRO2;QC2;IDEN1;EXTR1;AMOT2;INTRO1;,8.608,4.62,5.314,117.392,7.294,12.351,2.267,3.767,0,6.941,18.095,5.846,15.707,7.256,14.602,7.001;0.063,12.609,7.607,3,;4.204,1980,PR,PR,PR,EF,MD,EF,MD,TD,EF,PD,PD,PR,TD,TD,PR,MD,EF,Female,4,1400,IF|VV|CC|SV|CA,1,5,1,3.25,7,5.75,2,-3.75
3FULMHZ7OUX4GKQ6X3RECU4DFEYM4R,3XLAOVIRVQDS1CH5SNP7PR7LGQRS96,Workload survey - qualification for next job,"Questions about you and workload in Crowdsourcing, qualification will be given for next job","survey, fun, me, research, work,",$0.15,Wed Dec 14 09:16:28 PST 2016,200,BatchId:2630576;,900,172800,Wed Dec 21 09:16:28 PST 2016,,,32N49TQG3GI5VGYPAY7Y0D5B83EVAS,A21SIPO89DP66I,Approved,Wed Dec 14 20:27:10 PST 2016,Wed Dec 14 20:30:49 PST 2016,Fri Dec 16 20:30:49 PST 2016,Fri Dec 16 12:48:02 PST 2016,,,219,100% (1/1),100% (1/1),0% (0/0),3,2,4,3,5,4,5,6,4,5,5,4,2,3,3,3,1,1,TRUE,IDEN4;IDEN4;IDEN4;ENJO2R;IDEN2;QC1;ENJO3;ENJO3;ENJO3;ENJO3;EXTR2;EXTR2;EXTR2;EXTR2;EXTR2;ENJO4;ENJO4;ENJO4;INTRO3;INTRO3;IDEN3;IDEN3;IDEN3;IDEN3;INTRO4;INTRO4;ENJO1;ENJO1;ENJO1;AMOT1;AMOT1;INTRO2;INTRO2;QC2;QC2;IDEN1;IDEN1;IDEN1;EXTR1;EXTR1;EXTR1;EXTR1;AMOT2;INTRO1;,1.166;0.001,2.327,1.448;0.001;0.001,16.399,2.436;0.001;0.002;0.001,2.922;0.002;0.003,1.929;0.002;0.001;0.001,1.804;0.001;0.002;0.001;0.002,0,3.583;0.002;0.002,2.086,5.734;0.003;0.002;0.003,2.131,2.806;0.001,1.546;0.001,2.16;0.003,4.453,1.727;1.297,1,{},1981,EF,PR,TD,EF,PD,EF,FR,TD,TD,FR,FR,FR,TD,TD,PD,TD,FR,Male,2,200,SV|CA,2,3,2.5,4.5,5.5,4.5,2.75,-0.25
3FULMHZ7OUX4GKQ6X3RECU4DFEYM4R,3XLAOVIRVQDS1CH5SNP7PR7LGQRS96,Workload survey - qualification for next job,"Questions about you and workload in Crowdsourcing, qualification will be given for next job","survey, fun, me, research, work,",$0.15,Wed Dec 14 09:16:28 PST 2016,200,BatchId:2630576;,900,172800,Wed Dec 21 09:16:28 PST 2016,,,32RIADZISS4A1Z1472S2CNZ4HP24SZ,A2VD133723IZR8,Approved,Wed Dec 14 21:16:49 PST 2016,Wed Dec 14 21:23:31 PST 2016,Fri Dec 16 21:23:31 PST 2016,Fri Dec 16 12:48:07 PST 2016,,,402,100% (1/1),100% (1/1),0% (0/0),1,1,5,2,6,5,7,7,5,6,6,7,6,1,1,1,1,7,TRUE,IDEN4;ENJO2R;IDEN2;QC1;ENJO3;EXTR2;ENJO4;INTRO3;IDEN3;INTRO4;ENJO1;AMOT1;AMOT1;INTRO2;QC2;IDEN1;EXTR1;AMOT2;INTRO1;INTRO1;,6.675;2.085,2.444,1.281,167.907,2.579,2.794,2.024,1.914,0,4.461,10.373,3.286,3.514;0.597,2.107,5.028,3.275,2.514,4.934,1,{},1968,EF,MD,TD,MD,MD,EF,MD,TD,TD,FR,FR,FR,TD,TD,PR,TD,FR,Female,2,220,IF|VV|IA|SV|CA,1,5,1,5.5,7,6,2.25,0.75
3FULMHZ7OUX4GKQ6X3RECU4DFEYM4R,3XLAOVIRVQDS1CH5SNP7PR7LGQRS96,Workload survey - qualification for next job,"Questions about you and workload in Crowdsourcing, qualification will be given for next job","survey, fun, me, research, work,",$0.15,Wed Dec 14 09:16:28 PST 2016,200,BatchId:2630576;,900,172800,Wed Dec 21 09:16:28 PST 2016,,,32SVAV9L3F9LJ7W6QO1SHIDSHJOA3D,AVD6HMIO1HLFI,Approved,Wed Dec 14 20:35:30 PST 2016,Wed Dec 14 20:43:37 PST 2016,Fri Dec 16 20:43:37 PST 2016,Fri Dec 16 12:48:08 PST 2016,,,487,100% (1/1),100% (1/1),0% (0/0),1,1,1,6,2,1,7,7,4,4,4,5,1,1,1,1,1,7,TRUE,IDEN4;IDEN4;ENJO2R;IDEN2;QC1;ENJO3;EXTR2;ENJO4;INTRO3;IDEN3;INTRO4;ENJO1;AMOT1;INTRO2;QC2;IDEN1;EXTR1;AMOT2;AMOT1;INTRO1;,8.441;13.82,3.985,1.932,40.817,11.179,5.509,1.783,3.958,0,22.562,6.893,6.855,3.077,1.38,4.652,5.622,4.142,8.102,1,{},1988,EF,MD,TD,MD,MD,EF,FR,FR,TD,FR,FR,FR,TD,TD,PR,TD,FR,Male,3,350,IF|VV|SV|CA,2,5,1,1.5,7,4.25,1,-7.75
